FIPS,value


01001,11.3
01003,9.7
01005,27.0
01007,16.8
01009,19.8
01011,24.8
01013,15.4
01015,15.9
01017,18.6
01019,19.8
01021,17.8
01023,18.6
01025,18.8
01027,24.5
01029,22.6
01031,13.8
01033,15.6
01035,19.2
01037,20.4
01039,17.1
01041,21.6
01043,18.2
01045,14.2
01047,19.3
01049,25.9
01051,13.6
01053,18.5
01055,15.5
01057,17.6
01059,23.2
01061,20.9
01063,24.1
01065,16.4
01067,19.8
01069,14.3
01071,17.5
01073,10.3
01075,17.6
01077,12.6
01079,21.0
01081,9.5
01083,15.7
01085,22.5
01087,18.3
01089,8.9
01091,16.2
01093,20.3
01095,19.1
01097,13.8
01099,16.3
01101,14.4
01103,16.7
01105,21.9
01107,19.4
01109,19.0
01111,21.2
01113,16.7
01115,15.2
01117,7.8
01119,15.8
01121,19.0
01123,19.5
01125,11.6
01127,19.1
01129,19.6
01131,23.1
01133,21.9

02010,
02013,13.6
02016,11.2
02020,6.2
02050,18.6
02060,5.6
02068,1.6
02070,12.7
02090,5.5
02100,3.0
02105,8.5
02110,3.9
02122,7.2
02130,7.3
02150,10.1
02158,22.3
02160,
02164,14.5
02170,7.6
02180,15.9
02185,10.2
02188,18.1
02195,10.3
02198,9.8
02201,
02220,6.0
02230,6.3
02231,
02232,
02240,9.8
02250,
02261,4.0
02275,11.7
02280,
02282,8.2
02290,14.3

04001,20.4
04003,12.8
04005,10.4
04007,14.7
04009,14.4
04011,11.0
04012,22.7
04013,12.6
04015,14.7
04017,17.2
04019,11.7
04021,14.6
04023,24.4
04025,9.7
04027,27.9

05001,17.0
05003,17.7
05005,11.8
05007,11.9
05009,13.0
05011,18.0
05013,17.3
05015,14.2
05017,19.3
05019,10.8
05021,19.3
05023,15.3
05025,11.4
05027,15.0
05029,14.1
05031,10.9
05033,14.8
05035,17.6
05037,17.2
05039,16.4
05041,21.2
05043,14.9
05045,8.7
05047,17.4
05049,15.4
05051,11.6
05053,8.5
05055,12.7
05057,19.0
05059,14.6
05061,17.1
05063,14.2
05065,14.9
05067,21.1
05069,14.0
05071,20.6
05073,18.3
05075,14.5
05077,27.0
05079,18.7
05081,11.8
05083,14.9
05085,11.3
05087,20.3
05089,13.1
05091,14.0
05093,19.3
05095,22.9
05097,21.8
05099,13.2
05101,17.4
05103,14.4
05105,16.6
05107,21.6
05109,15.2
05111,19.4
05113,15.4
05115,15.2
05117,17.8
05119,9.6
05121,17.3
05123,19.4
05125,9.6
05127,21.1
05129,15.5
05131,16.8
05133,25.7
05135,16.4
05137,20.4
05139,15.2
05141,14.2
05143,15.0
05145,14.6
05147,20.0
05149,19.9

06001,12.0
06003,11.1
06005,9.7
06007,10.7
06009,9.6
06011,30.6
06013,10.6
06015,19.0
06017,6.9
06019,24.7
06021,24.7
06023,9.7
06025,31.0
06027,11.2
06029,26.2
06031,26.3
06033,14.8
06035,17.2
06037,21.3
06039,28.1
06041,6.8
06043,9.6
06045,13.1
06047,30.6
06049,14.4
06051,11.3
06053,28.7
06055,14.9
06057,5.8
06059,14.9
06061,5.4
06063,6.1
06065,18.3
06067,12.6
06069,20.1
06071,20.5
06073,12.9
06075,11.5
