FIPS,value
01001,679
01003,709
01005,657
01007,653
01009,675
01011,649
01013,652
01015,664
01017,652
01019,670
01021,655
01023,661
01025,656
01027,657
01029,683
01031,675
01033,671
01035,658
01037,673
01039,668
01041,649
01043,675
01045,666
01047,613
01049,667
01051,687
01053,653
01055,666
01057,669
01059,660
01061,662
01063,602
01065,641
01067,675
01069,668
01071,675
01073,669
01075,675
01077,682
01079,660
01081,677
01083,698
01085,647
01087,631
01089,702
01091,655
01093,667
01095,670
01097,657
01099,649
01101,647
01103,675
01105,615
01107,658
01109,649
01111,650
01113,641
01115,686
01117,719
01119,642
01121,638
01123,670
01125,667
01127,665
01129,655
01131,648
01133,668
02013,
02016,
02020,700
02050,646
02060,
02068,
02070,
02090,705
02100,
02110,739
02122,722
02130,718
02150,710
02158,621
02164,
02170,705
02180,643
02185,642
02188,639
02195,
02198,657
02220,720
02232,
02240,705
02261,747
02280,
02282,
02290,666
04001,613
04003,698
04005,677
04007,703
04009,673
04011,649
04012,675
04013,700
04015,691
04017,651
04019,700
04021,689
04023,675
04025,729
04027,682
05001,654
05003,649
05005,716
05007,717
05009,690
05011,668
05013,656
05015,676
05017,598
05019,669
05021,655
05023,701
05025,677
05027,637
05029,671
05031,666
05033,671
05035,611
05037,655
05039,615
05041,626
05043,656
05045,683
05047,675
05049,675
05051,672
05053,681
05055,651
05057,639
05059,664
05061,670
05063,667
05065,667
05067,651
05069,621
05071,668
05073,664
05075,663
05077,618
05079,662
05081,656
05083,670
05085,673
05087,707
05089,712
05091,640
05093,619
05095,650
05097,702
05099,625
05101,704
05103,654
05105,668
05107,621
05109,673
05111,617
05113,694
05115,672
05117,676
05119,669
05121,662
05123,613
05125,702
05127,650
05129,675
05131,671
05133,664
05135,668
05137,700
05139,653
05141,675
05143,688
05145,674
05147,663
05149,675
06001,743
06003,
06005,727
06007,706
06009,720
06011,694
06013,733
06015,684
06017,743
06019,677
06021,698
06023,714
06025,671
06027,722
06029,673
06031,675
06033,677
06035,696
06037,707
06039,680
06041,757
06043,725
06045,706
06047,675
06049,714
06051,741
06053,700
06055,734
06057,744
06059,731
06061,743
06063,713
06065,687
06067,710
06069,708
06071,675
06073,721
06075,756
06077,689
06079,745
06081,758
06083,724
06085,756
06087,740
06089,710
06091,
06093,709
06095,705
06097,735
06099,689
06101,700
06103,678
06105,714
06107,673
06109,719
06111,727
06113,737
06115,672
08001,687
08003,701
08005,722
08007,731
08009,710
08011,666
08013,760
08014,759
08015,765
08017,
08019,755
08021,690
08023,661
08025,
08027,761
08029,727
08031,721
08033,
08035,761
08037,747
08039,744
08041,717
08043,714
08045,710
08047,751
08049,733
08051,755
08053,
08055,720
08057,
08059,747
08061,
08063,725
08065,738
08067,745
08069,742
08071,687
08073,699
08075,724
08077,727
08079,
08081,722
08083,706
08085,745
08087,707
08089,675
08091,755
08093,715
08095,739
08097,749
08099,696
08101,676
08103,743
08105,719
08107,758
08109,693
08111,
08113,752
08115,751
08117,751
08119,741
08121,702
08123,716
08125,717
09001,731
09003,725
09005,737
09007,747
09009,711
09011,726
09013,745
09015,714
10001,682
10003,697
10005,728
11001,710
12001,705
12003,668
12005,675
12007,657
12009,710
12011,685
12013,655
12015,732
12017,704
12019,689
12021,732
12023,650
12027,658
12029,651
12031,669
12033,675
12035,718
12037,696
12039,642
12041,668
12043,642
12045,685
12047,668
12049,658
12051,647
12053,692
12055,687
12057,678
12059,654
12061,726
12063,663
12065,678
12067,638
12069,702
12071,709
12073,688
12075,668
12077,641
12079,662
12081,722
12083,691
12085,736
12086,676
12087,711
12089,711
12091,708
12093,669
12095,675
