county+AF8-name,state+AF8-abbr,value
Anchorage Municipality,AK,0.08155627963997
Fairbanks North Star Borough,AK,0.1176372850378
Matanuska+AC0-Susitna Borough,AK,0.04596834966089
Autauga County,AL,0.05531835901244
Baldwin County,AL,0.04683262301434
Bibb County,AL,0.08170117515389
Blount County,AL,0.04843945068664
Calhoun County,AL,0.0430827325781
Chilton County,AL,0.03075137800986
Colbert County,AL,0.05969832164861
Elmore County,AL,0.05573170731707
Etowah County,AL,0.04368471035138
Geneva County,AL,0.03926605504587
Greene County,AL,0.14258188824663
Hale County,AL,0.09187279151943
Henry County,AL,0.04223521767381
Houston County,AL,0.0572972972973
Jefferson County,AL,0.04617828372603
Lauderdale County,AL,0.04202434336963
Lawrence County,AL,0.04835924006908
Lee County,AL,0.08451734224822
Limestone County,AL,0.05826877736612
Lowndes County,AL,0.08264462809917
Madison County,AL,0.04771677783479
Mobile County,AL,0.05809246907246
Montgomery County,AL,0.06005991258655
Morgan County,AL,0.04539759036145
Pickens County,AL,0.03448275862069
Russell County,AL,0.06675271989674
Shelby County,AL,0.03101800808526
St. Clair County,AL,0.02660944206009
Tuscaloosa County,AL,0.05855855855856
Washington County,AL,0.07751937984496
Benton County,AR,0.03765195857722
Cleveland County,AR,0.03536345776031
Craighead County,AR,0.06215695000742
Crawford County,AR,0.03127962085308
Crittenden County,AR,0.08802098513553
Faulkner County,AR,0.06832776778834
Franklin County,AR,0.02144133412746
Garland County,AR,0.04251818496709
Grant County,AR,0.01134605466735
Jefferson County,AR,0.07117384843982
Lincoln County,AR,0.1049671977507
Little River County,AR,0.00951474785918
Lonoke County,AR,0.07715179968701
Madison County,AR,0.03127272727273
Miller County,AR,0.0603971318257
Perry County,AR,0.05189990732159
Poinsett County,AR,0.07102708226878
Pulaski County,AR,0.07056603773585
Saline County,AR,0.05550289626119
Sebastian County,AR,0.06016577279376
Washington County,AR,0.05210601396501
Cochise County,AZ,0.07658754311219
Coconino County,AZ,0.04677008566798
Maricopa County,AZ,0.04472198319454
Mohave County,AZ,0.02176763703121
Pima County,AZ,0.03574767749508
Pinal County,AZ,0.03184537187511
Yavapai County,AZ,0.0185247900298
Yuma County,AZ,0.05462797860269
Alameda County,CA,0.02751826524856
Butte County,CA,0.04124307395808
Contra Costa County,CA,0.02595660019433
El Dorado County,CA,0.02497062279671
Fresno County,CA,0.04308006163596
Imperial County,CA,0.06097371286359
Kern County,CA,0.0548694800494
Kings County,CA,0.14116752555546
Los Angeles County,CA,0.04542475833555
Madera County,CA,0.02267406038201
Marin County,CA,0.00976493977313
Merced County,CA,0.04781410003939
Monterey County,CA,0.03830214743187
Napa County,CA,0.02068150482568
Orange County,CA,0.03890303623898
Placer County,CA,0.04266488498616
Riverside County,CA,0.04231120497745
Sacramento County,CA,0.0411425501089
San Benito County,CA,0.03372952136203
San Bernardino County,CA,0.06664246578812
San Diego County,CA,0.07567873213707
San Francisco County,CA,0.02506272892452
San Joaquin County,CA,0.04486694001201
San Luis Obispo County,CA,0.05030565461029
San Mateo County,CA,0.02845333333333
Santa Barbara County,CA,0.0387706342311
Santa Clara County,CA,0.03125808287207
Santa Cruz County,CA,0.02304737516005
Shasta County,CA,0.02068120036245
Solano County,CA,0.04989075018208
Sonoma County,CA,0.02727841874609
Stanislaus County,CA,0.04106925880923
Sutter County,CA,0.04254742547425
Tulare County,CA,0.05014186226464
Ventura County,CA,0.04143255742843
Yolo County,CA,0.03894893775624
Yuba County,CA,0.0575660663188
Adams County,CO,0.04272651704073
Arapahoe County,CO,0.03404283447911
Boulder County,CO,0.04461358313817
Broomfield County,CO,0.03463203463203
Clear Creek County,CO,0.07343412526998
Denver County,CO,0.04367778415144
Douglas County,CO,0.04042597187758
El Paso County,CO,0.06062231759657
Elbert County,CO,0.01749611197512
Gilpin County,CO,0.02485659655832
Jefferson County,CO,0.03410955110041
Larimer County,CO,0.04424279263633
Mesa County,CO,0.04353769393753
Park County,CO,0
Pueblo County,CO,0.04532173235504
Teller County,CO,0.02430453879941
Weld County,CO,0.05650404034267
Fairfield County,CT,0.02675146168838
Hartford County,CT,0.03291294476393
Middlesex County,CT,0.02926829268293
New Haven County,CT,0.02936595036641
New London County,CT,0.03277441784667
Tolland County,CT,0.03528336380256
Windham County,CT,0.04049329966984
District of Columbia,DC,0.06436861451188
Kent County,DE,0.07185525560023
New Castle County,DE,0.04710752196658
Sussex County,DE,0.02858733989233
Alachua County,FL,0.06950713125113
Baker County,FL,0.04311926605505
Bay County,FL,0.0627929601132
Brevard County,FL,0.02636058945576
Broward County,FL,0.03919651261618
Charlotte County,FL,0.01371774006045
Citrus County,FL,0.00629524708845
Clay County,FL,0.041493456505
Collier County,FL,0.0141123092334
Duval County,FL,0.06884432969758
Escambia County,FL,0.06748212949343
Flagler County,FL,0.02825691254226
Gadsden County,FL,0.04709495776811
Gilchrist County,FL,0.00186335403727
Hernando County,FL,0.01799302139824
Highlands County,FL,0.01514069418654
Hillsborough County,FL,0.0509606007902
Indian River County,FL,0.01344426357991
Jefferson County,FL,0.07681755829904
Lake County,FL,0.02004179331307
Lee County,FL,0.02196444712263
Leon County,FL,0.05231822971549
Levy County,FL,0.02587548638132
Manatee County,FL,0.02101189623047
Marion County,FL,0.01756212689157
Martin County,FL,0.01765497141576
Miami+AC0-Dade County,FL,0.06002073598546
Nassau County,FL,0.0330083401856
Okaloosa County,FL,0.08190973992861
Orange County,FL,0.05191429474107
Osceola County,FL,0.03578325570828
Palm Beach County,FL,0.0205774389383
Pasco County,FL,0.01947633174255
Pinellas County,FL,0.02931626835806
Polk County,FL,0.0220491202346
Santa Rosa County,FL,0.05300652617945
Sarasota County,FL,0.02125532913122
