FIPS,value
01001,11.14898915
01003,14.34852477
01005,16.08583414
01007,13
01009,17.08234188
01011,15.24096386
01013,14.50576534
01015,15.38868712
01017,15.22631684
01019,13.94033268
01021,17.50468398
01023,14.11301277
01025,15.31550802
01027,17.21845839
01029,16.84013566
01031,15.28678952
01033,12.12130609
01035,15.33437456
01037,15.53275454
01039,15.29156034
01041,15.60636183
01043,16.22100084
01045,12.48971193
01047,13.70767594
01049,22.81160115
01051,11.00243976
01053,18.94849349
01055,15.96350062
01057,14.52828186
01059,19.86769331
01061,18.14714971
01063,14.68769985
01065,13.67974549
01067,15.30559836
01069,14.43704945
01071,16.49047246
01073,12.69599677
01075,14.49757095
01077,14.07030578
01079,17.4546371
01081,12.7768885
01083,14.05203275
01085,13.81935047
01087,13.07595305
01089,11.83323748
01091,12.55847427
01093,14.47594248
01095,20.7977208
01097,15.24828305
01099,16.32455148
01101,14.33731655
01103,14.87256158
01105,15.05487679
01107,14.61495742
01109,15.98155204
01111,16.79012346
01113,14.88662883
01115,12.92079208
01117,9.910763825
01119,14.001657
01121,13.12455791
01123,15.0748183
01125,11.72726208
01127,14.98498015
01129,17.54565976
01131,13.66954214
01133,16.04117991
02013,29.1561939
02016,20.86187845
02020,14.68738795
02050,27.33040508
02060,18.3745583
02068,15.36796537
02070,21.7114094
02090,15.15454282
02100,19.5610071
02105,25.57041699
02110,15.00711587
02122,18.25891959
02130,19.53569356
02150,21.42182334
02158,25.65304756
02164,29.9
02170,17.24186242
02180,27.42847051
02185,20.13135787
02188,30.70794446
02195,20.40609137
02198,26.10899873
02220,20.79280602
02230,15.10353228
02240,24.63208685
02261,16.51846785
02275,20.60027285
02282,20.63492064
02290,30.25103273
04001,22.99695552
04003,12.29122577
04005,14.84364802
04007,15.41442173
04009,12.1587449
04011,9.754787901
04012,22.90180088
04013,13.86635529
04015,15.22911306
04017,18.30080954
04019,12.68121332
04021,13.22099572
04023,17.10100292
04025,14.25306233
04027,17.6579222
05001,10.77428075
05003,11.35890316
05005,9.922224841
05007,12.85429142
05009,10.46090109
05011,14.38860697
05013,9.845947756
05015,15.40521126
05017,10.99800036
05019,8.529960957
05021,10.34031414
05023,10.68032727
05025,10.54522401
05027,9.990791897
05029,10.27402931
05031,9.742379112
05033,12.24671265
05035,10.33719103
05037,10.89949281
05039,9.691848907
05041,12.04131977
05043,10.16037736
05045,9.78329228
05047,11.51720795
05049,11.35330093
05051,11.73683151
05053,7.181709228
05055,8.744948361
05057,13.38929183
05059,9.269421132
05061,14.54328517
05063,10.08741177
05065,12.19512195
05067,10.58698977
05069,8.966720344
05071,13.15859148
05073,12.36586612
05075,10.12699096
05077,10.63989962
05079,11.26532084
05081,10.93484419
05083,11.83595915
05085,8.848604505
05087,13.67939581
05089,11.41880342
05091,10.08603259
05093,9.458014639
05095,10.34038164
05097,13.46913324
05099,10.27280477
05101,11.39896373
05103,8.535238236
05105,10.42985671
05107,9.252143068
05109,14.00903809
05111,11.84929537
05113,16.23853211
05115,12.9693962
05117,10.71583514
05119,9.344595362
05121,10.82115869
05123,10.57075587
05125,9.043934945
05127,14.44425474
05129,11.98423737
05131,15.79058032
05133,22.78869779
05135,12.71872266
05137,14.02823671
05139,11.07161664
05141,11.70753758
05143,14.91788707
05145,10.4676763
05147,11.34673644
05149,14.78844754
06001,6.841754121
06003,8.408408408
06005,7.162884198
06007,8.706096215
06009,8.465525365
06011,13.83572568
06013,6.957740628
06015,7.664796634
06017,6.299338596
06019,11.60123895
06021,13.99724931
06023,10.52619033
06025,10.56860006
06027,10.6986465
06029,11.4170254
06031,12.05891262
06033,11.39870444
06035,5.743463461
06037,12.35501948
06039,14.04738111
06041,6.318217278
06043,9.126984127
06045,13.13714021
06047,11.81537555
06049,11.91534392
06051,11.48227712
06053,15.28163122
06055,10.22974082
06057,8.32960624
06059,10.18790534
06061,5.155437548
06063,7.965121975
06065,11.2897773
06067,7.879349316
06069,10.06747493
06071,10.84535156
06073,10.1703226
06075,5.565431908
06077,9.69009077
06079,8.577969705
06081,6.421243901
06083,13.06247697
06085,6.10142931
06087,8.586118861
06089,8.573802324
06091,8.87647424
06093,10.4269984
06095,6.931255008
06097,9.043159489
06099,9.174643752
06101,10.84311821
06103,9.914982578
06105,9.917823746
06107,12.02483307
06109,7.471830986
06111,11.576805
06113,7.214004338
06115,9.722222222
08001,13.8427164
08003,16.01878139
08005,10.28938433
08007,14.29145998
08009,15.98930481
08011,12.3683005
08013,7.662437394
08014,5.633054645
08015,11.24524715
08017,15.75757576
08019,5.830761735
08021,12.77513047
08023,17.50992064
08025,12.89490651
08027,13.12450436
08029,12.69114097
08031,12.41365879
08033,12.86956522
08035,4.464144977
08037,13.75427088
08039,8.407107039
08041,9.30108725
08043,10.46410409
08045,16.58158338
08047,4.527655409
08049,11.57967851
08051,11.65279429
08053,11.29411765
08055,9.011880614
08057,14.81042654
08059,7.77342772
08061,11.73333333
08063,17.02935223
08065,13.84305835
08067,12.82546935
08069,8.391038134
08071,14.06859449
08073,10.30160595
08075,12.40796291
08077,11.38266317
08079,10.09389671
08081,11.66666667
08083,15.55084456
08085,14.58460466
08087,14.93881608
08089,13.14096119
08091,9.090909091
08093,9.293295366
08095,15.06129597
08097,12.70015169
08099,17.52046075
08101,10.03656538
08103,10.19629226
08105,16.01690935
08107,9.315362595
08109,19.45567233
08111,9.168443497
08113,12.35380117
08115,13.12649165
08117,11.93829954
08119,8.926209997
08121,10.78208049
08123,11.32829491
08125,15.53292106
09001,10.74991814
09003,6.480314349
09005,6.01831426
09007,4.749561253
09009,6.825876268
09011,5.964243206
09013,4.294792948
09015,6.61366404
10001,7.665862894
10003,6.727615203
10005,8.443099952
11001,5.183141016
12001,13.70562552
12003,14.79395786
12005,17.94027724
12007,16.07129812
12009,15.32338864
12011,19.86407329
12013,18.2441701
12015,19.19882755
12017,18.01883324
12019,13.5862186
12021,26.45474052
12023,15.05081679
12027,27.71744916
12029,19.11322645
12031,15.73602407
12033,13.54880421
12035,17.04610082
12037,20.34476567
12039,20.00630368
12041,18.58370432
12043,29.55005449
12045,15.55043384
12047,18.54801654
12049,25.7648283
12051,34.06556126
12053,18.93482817
12055,22.45045119
12057,16.99169819
12059,18.69886644
12061,19.56417078
12063,18.15995452
12065,15.50736498
12067,23.44183699
12069,18.31529305
12071,21.81322772
12073,12.48969144
12075,21.45156963
12077,17.55190078
12079,17.00294241
12081,19.09183542
12083,18.77210205
12085,19.17976245
12086,24.34635119
12087,22.28877812
12089,14.32826559
12091,15.86575258
12093,27.43986729
12095,18.53185998
12097,19.98102834
12099,20.65636949
12101,18.46789093
12103,16.60826811
12105,19.39504832
12107,21.32060859
12109,12.7467146
12111,20.55803571
12113,15.15619719
12115,18.67647059
12117,12.18546512
12119,13.05611864
12121,20.82896118
12123,18.22197162
12125,15.55319901
12127,17.50232402
12129,14.8202996
12131,20.47882512
12133,19.77920173
13001,23.8209586
13003,27.86647315
13005,23.62723565
13007,22.16828479
13009,19.42077667
13011,23.22438163
13013,20.99187159
13015,21.71042435
13017,20.75373754
13019,23.66035365
13021,17.92527868
13023,16.36599798
13025,22.01834862
13027,23.4040191
13029,14.82208151
13031,20.20886733
13033,18.91106523
13035,18.14029111
13037,21.50220913
13039,16.33980706
13043,25.88333333
13045,19.3826458
13047,15.55645202
13049,19.40151266
13051,19.73838944
13053,15.02923977
13055,20.61848204
13057,15.44210851
13059,18.77373515
13061,19.17808219
13063,24.8840671
13065,21.03626943
13067,16.11481424
13069,24.19945298
13071,30.19681135
13073,13.99212286
13075,23.06544659
13077,15.26122149
13079,19.29022718
13081,20.69612828
13083,17.53642096
13085,19.51067369
13087,21.9413482
13089,19.37476338
13091,19.73958333
13093,22.00637866
13095,18.23684467
13097,17.33232184
13099,18.58624934
13101,33.9399069
13103,16.89647685
13105,21.24300009
13107,20.2692838
13109,22.07859359
13111,20.82756611
13113,12.28606265
13115,22.55818149
13117,13.5357419
13119,22.77588345
13121,15.06098708
13123,26.26626394
13125,17.70833333
13127,20.82307207
13129,25.79377783
13131,25.44059125
13133,22.78353965
13135,22.50144505
13137,22.96415593
13139,26.96202316
13141,19.24491297
13143,18.39516825
13145,12.44848304
13147,21.84826813
13149,18.29441913
13151,15.61740089
13153,16.61634953
13155,17.79014636
13157,19.02409968
13159,21.15571776
13161,23.53215284
13163,20.17693093
13165,19.52446273
13167,19.50794688
13169,15.59578748
13171,18.05176471
13173,20.40525566
13175,18.79878094
13177,15.99770971
13179,15.11299815
13181,19.42268964
13183,20.475382
13185,21.63146074
13187,23.09913378
13189,18.6504679
13191,18.96636993
13193,23.39181287
13195,21.86894587
13197,20.35272654
13199,19.58059211
13201,19.73807297
13205,22.24530425
13207,16.28054184
13209,19.72541894
13211,18.4632811
13213,25.17686226
13215,17.08815186
13217,18.79456706
13219,13.95987043
13221,21.56556646
13223,15.51956281
13225,21.09862672
13227,20.53986121
13229,19.78258917
13231,16.88016717
13233,24.07156633
13235,18.8871054
13237,22.06890854
13239,21.12321878
13241,24.55063569
13243,19.71600219
13245,17.62715888
13247,18.91318657
13249,18.22414367
13251,19.22370516
13253,19.88278706
13255,19.50674435
13257,19.2395123
13259,21.03536274
13261,21.33525111
13263,17.2311828
13265,23.45415778
13267,23.39848883
13269,19.01306241
13271,19.84784676
13273,22.85832815
13275,19.49410571
13277,22.25529529
13279,23.29849771
13281,19.23076923
13283,20.29419777
13285,18.0345997
13287,23.29355609
13289,20.52309639
13291,21.47021546
13293,16.81202812
13295,18.36643717
13297,16.69842782
