FIPS,value
01001,33.08668
01003,26.61335
01005,40.81081
01007,40.68966
01009,34.38228
01011,42.33577
01013,40.89457
01015,41.73228
01017,43.37152
01019,38.44156
01021,40.50633
01023,43.93939
01025,42.81609
01027,40.94488
01029,35.21739
01031,31.85732
01033,35.41203
01035,48.68421
01037,39.74359
01039,39.83193
01041,37.55102
01043,33.97657
01045,34.73684
01047,53.20624
01049,38.0814
01051,29.70297
01053,44.78331
01055,38.20933
01057,40.28777
01059,40.04684
01061,39.01437
01063,54.20561
01065,47.2103
01067,33.92857
01069,35.26012
01071,35.15716
01073,39.00999
01075,34.44976
01077,33.26446
01079,41.84783
01081,29.70562
01083,31.77994
01085,43.94904
01087,49.44238
01089,30.4269
01091,41.19497
01093,42.29075
01095,37.5603
01097,41.23411
01099,45.48193
01101,44.23187
01103,36.67837
01105,55.7377
01107,47.01987
01109,43.31897
01111,39.20455
01113,48.78307
01115,31.91187
01117,24.87663
01119,41.89944
01121,51.14988
01123,34.93253
01125,36.82864
01127,39.91936
01129,36.76471
01131,46.8421
01133,41.93548
02013,
02016,
02020,29.29732
02050,35.26316
02060,
02068,
02070,22
02090,24.98275
02100,
02110,21.03175
02122,23.95709
02130,20.9607
02150,17.55319
02158,46.875
02164,
02170,26.11732
02180,24.70588
02185,36.04651
02188,32.43243
02195,
02198,24.61538
02220,21.32353
02240,20.53571
02261,21.48148
02282,
02290,24
04001,52.49169
04003,28.82494
04005,31.64683
04007,33.12655
04009,39.01437
04011,47.78761
04012,33.79791
04013,30.03035
04015,31.4335
04017,43.92523
04019,28.92903
04021,31.82344
04023,27.83019
04025,24.15661
04027,30.6083
05001,37.36264
05003,47.38372
05005,31.89873
05007,27.06209
05009,33.06709
05011,43.67089
05013,34.54545
05015,37.61468
05017,58.13953
05019,37.5
05021,44.24779
05023,29.93492
05025,27.58621
05027,48
05029,36.16352
05031,41.8136
05033,39.06094
05035,49.30114
05037,45.83333
05039,47.82609
05041,49.1018
05043,40.50179
05045,30.45133
05047,29.83193
05049,30.45977
05051,36.613
05053,34.53237
05055,45.45455
05057,47.97688
05059,38.93805
05061,38.93805
05063,40.16129
05065,36.75676
05067,41.86046
05069,50.19011
05071,39.375
05073,41.66667
05075,43.84058
05077,57.3913
05079,40
05081,46.19289
05083,35.67567
05085,34.28309
05087,30.31915
05089,35.58719
05091,52.12766
05093,53.13029
05095,44.53782
05097,29.92126
05099,53.84616
05101,27.92793
05103,41.46341
05105,35.09934
05107,51.01215
05109,37.67123
05111,54.69169
05113,33.21918
05115,35.17241
05117,34.25926
05119,37.86564
05121,34.84848
05123,60.559
05125,28.41707
05127,47.97297
05129,39.62264
05131,38.30769
05133,41.85022
05135,42.46032
05137,31.38686
05139,42.15247
05141,35.89744
05143,32.2043
05145,31.86066
05147,46.84685
05149,36.74699
06001,17.98761
06003,
06005,19.84615
06007,24.80692
06009,20.59621
06011,23.82271
06013,19.7871
06015,31.87348
06017,16.60053
06019,31.03424
06021,24.6085
06023,26.25779
06025,31.42485
06027,21.76871
06029,34.21838
06031,34.93575
06033,34.11215
06035,33.42391
06037,24.73528
06039,28.75116
06041,12.23491
06043,22.37288
06045,26.8942
06047,31.66976
06049,25.30864
06051,16.33663
06053,25.67044
06055,17.19601
06057,16.24485
06059,19.44985
06061,14.81424
06063,24.92837
06065,29.10623
06067,24.3977
06069,25.22168
06071,33.15162
06073,22.05762
06075,12.00329
06077,27.55305
06079,15.02591
06081,12.22877
06083,18.29268
06085,12.32262
06087,15.75803
06089,25.45887
06091,
06093,24.73545
06095,25.27673
06097,17.62712
06099,28.26683
06101,26.04651
06103,31.73873
06105,25.59524
06107,34.32791
06109,26.1324
06111,20.91759
06113,14.96315
06115,33.94649
08001,30.68479
08003,27.55556
08005,25.08022
08007,23.58079
08009,28.81356
08011,37.93103
08013,15.72314
08014,14.27115
08015,16.6113
08017,
08019,23.49398
08021,26.5625
08023,32.75862
08025,
08027,14.49275
08029,16.22718
08031,26.67511
08033,
08035,12.89896
08037,16.20948
08039,16.54321
08041,25.18855
08043,27.43628
08045,22.78618
08047,18.18182
08049,18.69159
08051,12.5
08053,
08055,32.25806
08057,
08059,19.00977
08061,
08063,21.69811
08065,22.88136
08067,22.64851
08069,20.36789
08071,33.73494
08073,32.05128
08075,24.35424
08077,20.81616
08079,
08081,25.48077
08083,24.67532
08085,17.00155
08087,27.49392
08089,32.38434
08091,17.58242
08093,20.83333
08095,18.98734
08097,14.6789
08099,29.37853
08101,34.54475
08103,18.34862
08105,26.11111
08107,13.76147
08109,18.42105
08111,
08113,16.53543
08115,19.60784
08117,18.48907
08119,21.66667
08121,20
08123,25.66424
08125,25
09001,22.4897
09003,26.46422
09005,23.137
09007,18.3843
09009,27.28142
09011,23.38767
09013,18.86964
09015,27.17808
10001,33.22226
10003,32.1072
10005,26.44085
11001,25.748
12001,28.44127
12003,43.91408
12005,37.47634
12007,44.71745
12009,32.7235
12011,32.65896
12013,42.51497
12015,25.41806
12017,31.90633
12019,33.93278
12021,22.83922
12023,47.91667
12027,45.84222
12029,42.61603
12031,40.8311
12033,37.02501
12035,28.17518
12037,37.35632
12039,47.51131
12041,40
12043,49.0566
12045,36.19048
12047,36.96682
12049,41.06667
12051,50.16286
12053,31.82386
12055,31.59472
12057,35.47088
12059,36.47059
12061,26.2894
12063,41.03704
12065,34.15493
12067,48.64865
12069,30.39018
12071,30.37427
12073,31.32501
12075,38.52573
12077,40.14085
12079,41.89189
12081,27.97672
12083,34.42415
12085,23.47454
12086,30.45745
12087,29.13817
12089,30.86501
12091,27.81532
12093,39.81043
12095,36.59096
12097,39.8107
12099,29.59745
12101,32.73346
12103,31.34654
12105,39.92424
12107,46.35457
12109,21.83908
12111,35.63676
12113,28.70652
12115,22.52841
12117,30.27318
12119,15.74837
12121,40.90909
12123,47.96238
12125,44.50867
12127,34.30761
12129,29.02033
12131,26.81895
12133,37.68546
13001,38.54167
13003,53.09734
13005,41.35802
13007,
13009,41.43126
13011,39.58333
13013,36.10698
13015,40.85106
13017,54.85893
13019,45.05119
13021,47.68555
13023,37.70492
13025,36.69725
13027,54.54546
13029,28.1759
13031,40.57451
13033,49.49495
13035,41.97183
13037,42.25352
13039,36.21103
13043,40.84507
13045,40.97035
13047,35.13514
13049,52.07101
13051,37.84198
13053,32.25806
13055,48.00995
13057,23.15462
13059,31.47387
13061,
13063,51.63934
13065,44.79167
13067,28.5364
13069,47.06897
13071,38.76582
13073,29.91228
13075,54.54546
13077,28.78992
13079,43.58974
13081,53.82513
13083,38.99083
13085,25.61798
13087,43.48894
13089,37.33829
13091,43.08176
13093,46.83544
13095,53.03826
13097,42.1313
13099,50
13101,32.20339
13103,32.56743
13105,38.90675
13107,47.79221
13109,40.23669
13111,23.62769
13113,22.00855
13115,40.92769
13117,16.66148
13119,36.92722
13121,32.69219
13123,35.09514
13125,
13127,38.71439
13129,39.39394
13131,41.75258
13133,25
13135,30.04147
13137,30.82822
13139,33.83035
13141,47.54098
13143,45.53571
13145,27.46331
13147,39.41019
13149,42.69663
13151,38.40109
13153,33.88158
13155,49.33333
13157,29.62662
13159,48.11321
13161,36.60714
13163,50.42735
13165,42.85714
13167,40
13169,37.13592
13171,35.84906
13173,46.93878
13175,42.55569
13177,32.02614
13179,43.8684
13181,42.22222
13183,37.5
13185,43.12394
13187,31.98992
13189,53.95895
13191,38.82353
13193,46.5
13195,31.97279
13197,50.90909
13199,47.15909
13201,39.78495
13205,51.23457
13207,32.58427
13209,42.59259
13211,33.03835
13213,39.60546
13215,47.26563
13217,45.73513
13219,13.81323
13221,34.73684
13223,36.66128
13225,44.5977
13227,27.97619
13229,34.82428
13231,26.33745
13233,45.75261
13235,40.15748
13237,41.22563
13239,
13241,25.95156
13243,46.83544
13245,54.4375
13247,43.23232
13249,34.28572
13251,45.2
13253,41.4966
13255,47.64808
13257,38.20755
13259,62.96296
13261,49.53704
13263,55.40541
13265,
13267,41.74455
13269,48.71795
13271,45.37815
13273,48.52071
13275,42.56757
13277,41.4876
13279,41.2993
13281,25.80645
13283,42.15686
13285,45.12086
13287,55.30303
13289,34.61539
13291,15.10791
13293,47.35729
13295,44.87761
13297,34.98789
13299,47.1831
13301,59.18368
13303,51.35952
13305,43.6
13307,
13309,
13311,33.41289
13313,36.63051
13315,51.35135
13317,43.39623
13319,51.59236
13321,45.82043
15001,20.79049
15003,17.50474
15005,
15007,16.03189
15009,21.93599
16001,18.92208
16003,17.94872
16005,28.46662
16007,21.78218
16009,23.18841
16011,24.65961
16013,14.58333
16015,14.92537
16017,15.64456
16019,20.93649
16021,13.63636
16023,
16025,
16027,28.82985
16029,21.13821
16031,29.73761
16033,
16035,17.3913
16037,15.78947
16039,26.88172
16041,15.2381
16043,17
16045,22.49135
16047,24.01747
16049,13.55932
16051,17.31707
16053,26.83616
16055,18.14895
16057,15.04132
16059,15.65217
16061,22.68041
16063,27.77778
16065,11.67315
16067,24.14698
16069,20.43165
16071,18.84058
16073,34.61539
16075,29.59427
16077,25.71429
16079,24.6696
16081,17.2973
16083,23.67079
16085,10.28571
16087,24.3421
17001,26.04273
17003,38.27161
17005,29.86425
17007,25.12821
17009,34.32836
17011,25.43021
17013,23.75
17015,21.16183
17017,31.52709
17019,28.0235
17021,29.16667
17023,27.70563
17025,31.07345
17027,24.08478
17029,36.76681
17031,29.08151
17033,23.63014
17035,20.78652
17037,25.53633
17039,27.96935
17041,21.35593
17043,19.94337
17045,36.49635
17047,23.25581
17049,27.02703
17051,30.46875
17053,24.77876
17055,33.55818
17057,31.62218
17059,29.21348
17061,23.71134
17063,30.40712
17065,22.77228
17067,21.78571
17069,29.23077
17071,25.53191
17073,22.55846
17075,29.79684
17077,34.06736
17079,21.62162
17081,35.75042
17083,23.39744
17085,14.67391
17087,21.69312
17089,25.27444
17091,33.51064
17093,25.04338
17095,31.70732
17097,20.52694
17099,28.8207
17101,31.10048
17103,26.48221
17105,27.22603
17107,28.28054
17109,27.5
17111,17.93909
17113,24.39425
17115,37.58389
17117,26.35659
17119,30.50156
17121,40.20618
17123,23.03371
17125,29.35323
17127,32.56881
17129,18.18182
17131,22.17573
17133,12.31618
17135,25.36585
17137,27.13988
17139,26.38889
17141,24.36364
17143,32.33903
17145,26.88525
17147,22.85714
17149,22.45763
17151,
17153,37.33333
