FIPS,value


01001,2.56
01003,2.59
01005,2.41
01007,2.99
01009,2.74
01011,2.79
01013,3
01015,2.5
01017,2.46
01019,2.39
01021,2.58
01023,2.4
01025,2.61
01027,2.52
01029,2.6
01031,2.56
01033,2.48
01035,2.71
01037,2.57
01039,2.46
01041,2.77
01043,2.63
01045,2.55
01047,2.42
01049,2.7
01051,2.58
01053,2.61
01055,2.6
01057,2.38
01059,2.83
01061,2.52
01063,2.8
01065,2.59
01067,2.53
01069,2.64
01071,2.47
01073,2.47
01075,2.34
01077,2.35
01079,2.59
01081,2.58
01083,2.86
01085,2.35
01087,2.2
01089,2.38
01091,2.59
01093,2.45
01095,2.71
01097,2.6
01099,2.57
01101,2.46
01103,2.55
01105,2.76
01107,2.41
01109,2.71
01111,2.55
01113,2.47
01115,2.68
01117,2.64
01119,2.29
01121,2.45
01123,2.46
01125,2.72
01127,2.53
01129,2.74
01131,2.71
01133,2.44

02013,2.61
02016,3.74
02020,2.69
02050,3.83
02060,2.51
02068,2.32
02070,3.2
02090,2.62
02100,2.46
02105,2.51
02110,2.5
02122,2.63
02130,2.51
02150,3.08
02158,4.6
02164,3.03
02170,3.31
02180,3.3
02185,3.36
02188,4.06
02195,2.68
02198,2.66
02220,2.36
02230,2.51
02240,3.05
02261,2.83
02275,2.38
02282,2.65
02290,2.69

04001,3.37
04003,2.34
04005,2.67
04007,2.4
04009,3.1
04011,3.01
04012,2.2
04013,2.75
04015,2.35
04017,3.04
04019,2.46
04021,2.87
04023,2.91
04025,2.26
04027,2.79

05001,2.36
05003,2.59
05005,2.22
05007,2.7
05009,2.45
05011,2.42
05013,2.73
05015,2.49
05017,2.43
05019,2.34
05021,2.29
05023,2.3
05025,2.5
05027,2.57
05029,2.49
05031,2.5
05033,2.59
05035,2.52
05037,2.49
05039,2.21
05041,2.23
05043,2.43
05045,2.66
05047,2.58
05049,2.42
05051,2.4
05053,2.62
05055,2.56
05057,2.65
05059,2.5
05061,2.55
05063,2.54
05065,2.6
05067,2.34
05069,2.36
05071,2.64
05073,2.4
05075,2.48
05077,2.36
05079,2.22
05081,2.27
05083,2.5
05085,2.67
05087,2.57
05089,2.4
05091,2.57
05093,2.52
05095,2.09
05097,2.35
05099,2.41
05101,2.64
05103,2.43
05105,2.78
05107,2.46
05109,2.47
05111,2.47
05113,2.42
05115,2.67
05117,2.13
05119,2.44
05121,2.36
05123,2.41
05125,2.68
05127,2.61
05129,2.35
05131,2.45
05133,2.88
05135,2.27
05137,2.58
05139,2.48
05141,2.41
05143,2.57
05145,2.58
05147,2.19
05149,2.82

06001,2.82
06003,2.87
06005,2.38
06007,2.57
06009,2.66
06011,2.94
06013,2.87
06015,2.47
06017,2.63
06019,3.14
06021,2.74
06023,2.41
06025,3.81
06027,2.18
06029,3.17
06031,3.13
06033,2.46
06035,2.26
06037,2.99
06039,3.28
06041,2.4
06043,2.13
06045,2.47
06047,3.32
06049,2.33
06051,2.93
06053,3.27
06055,2.78
06057,2.4
06059,3.01
06061,2.67
06063,2.16
06065,3.28
06067,2.76
06069,3.31
06071,3.29
06073,2.87
06075,2.36
06077,3.17
06079,2.51
06081,2.87
06083,2.91
