FIPS,value
01001,0.346695558
01003,0.817553916
01005,0.224754544
01007,0.088916552
01009,0.258317297
01011,0.136612022
01013,0.292515635
01015,0.485962065
01017,0.175282234
01019,0
01021,0.449438202
01023,0
01025,0.049734748
01027,0.247431956
01029,0.288281041
01031,0.74716426
01033,0.202661993
01035,0.217847346
01037,0.037185089
01039,0.36827957
01041,0.050563421
01043,0.315015751
01045,0.765062808
01047,0.145597589
01049,0.085542
01051,0.378339742
01053,0.05397091
01055,0.162533577
01057,0.054565297
01059,0.076272802
01061,0.170344854
01063,0
01065,0.033763252
01067,0.175100683
01069,0.250233997
01071,0.217927949
01073,0.408986175
01075,0
01077,0.333851938
01079,0.172424224
01081,0.590746624
01083,0.331478881
01085,0.039686477
01087,0.037417148
01089,0.773167419
01091,0.207028622
01093,0.164066162
01095,0.658699539
01097,0.420415634
01099,0.216267043
01101,0.436677374
01103,0.355665909
01105,0
01107,0.13337944
01109,0.38100381
01111,0.251688965
01113,0.605673661
01115,0.143199718
01117,0.651729825
01119,0.031257326
01121,0.208989016
01123,0.078932439
01125,0.451991028
01127,0.087349867
01129,0.036273502
01131,0
01133,0.092499159

02013,1.624815362
02016,0.596700597
02020,1.111637272
02050,0.49079078
02060,0.342857143
02068,3.339269813
02070,0.120943358
02090,1.371729651
02100,2.104845115
02105,0.374006545
02110,0.521302014
02122,0.921934866
02130,0.811594203
02150,0.341982009
02158,0
02164,0.071787509
02170,1.211931403
02180,0.490588706
02185,0.306372549
02188,0.311082307
02195,0.368437212
02198,0.280942719
02220,1.284722222
02230,1.445347787
02240,6.208200058
02261,0.908795846
02275,0.239808154
02282,0.154083205
02290,0.223172773

04001,0.09369188
04003,1.050315015
04005,0.874895593
04007,0.918836141
04009,0.102642383
04011,0.105019954
04012,0.437647285
04013,1.350902442
04015,0.93165459
04017,0.413654251
04019,1.195961476
04021,0.860226482
04023,0.40232358
04025,1.453958705
04027,0.377145913

05001,0
05003,0.019733596
05005,0.767615323
05007,0.376280766
05009,0.251801452
05011,0.073569983
05013,0
05015,0.27534418
05017,0
05019,0.15188064
05021,0.167909195
05023,0.22310757
05025,0.086122047
05027,0.193472409
05029,0.249304823
05031,0.319530486
05033,0.317187077
05035,0.219838922
05037,0.059438897
05039,0
05041,0
05043,0.097735788
05045,0.398789879
05047,0.400270606
05049,0.277982176
05051,0.940591548
05053,0.270329913
05055,0.020028039
05057,0.096145042
05059,0.235140042
05061,0.060100669
05063,0.203061961
05065,0.184229919
05067,0.287778235
05069,0.095262839
05071,0.189595025
05073,0.102941177
05075,0.211493142
05077,0.043506635
05079,0.141211446
05081,0
05083,0.189219125
05085,0.395709243
05087,0.518166677
05089,0.649429473
05091,0.309832002
05093,0.109196221
05095,0
05097,0.346368715
05099,0.035923842
05101,0.460829493
05103,0.239194293
05105,0.144857557
05107,0.069869934
05109,0.195239866
05111,0
05113,0.293619986
05115,0.155267326
05117,0
05119,0.547628681
05121,0.339078836
05123,0.142857143
05125,0.315705732
05127,0.086738628
05129,0.252908447
05131,0.24923388
05133,0.087816873
05135,0.064181107
05137,0.048096192
05139,0.091257066
05141,0.240355727
05143,0.455467112
05145,0.180289988
05147,0
05149,0.083861349

06001,1.956597057
06003,1.539942252
06005,1.332327149
06007,0.778063653
06009,1.570945204
06011,0.396196514
06013,2.215537566
06015,1.505728314
06017,2.106988115
06019,0.632084029
06021,0.314555333
06023,0.757687215
06025,0.137796692
06027,0.606330311
06029,0.367941544
06031,0.778414106
06033,0.861437807
06035,0.470504251
06037,1.684688
