FIPS,value
01001,8129
01003,7354
01005,10254
01007,11978
01009,11335
01011,11680
01013,14360
01015,12079
01017,11113
01019,12350
01021,10019
01023,12480
01025,11144
01027,10462
01029,11088
01031,8175
01033,10645
01035,10822
01037,12691
01039,11418
01041,9945
01043,10182
01045,10467
01047,14717
01049,10748
01051,8763
01053,12227
01055,11905
01057,9721
01059,10155
01061,11145
01063,11619
01065,12327
01067,9242
01069,9647
01071,11088
01073,10970
01075,11928
01077,9035
01079,11826
01081,6973
01083,7722
01085,15840
01087,12689
01089,8270
01091,12172
01093,11106
01095,10063
01097,10464
01099,12612
01101,9821
01103,9541
01105,14264
01107,9794
01109,10403
01111,10407
01113,11234
01115,9943
01117,6106
01119,13159
01121,12063
01123,10544
01125,8774
01127,15206
01129,12133
01131,12987
01133,10860
02013,
02016,
02020,7680
02050,14126
02060,
02068,
02070,13106
02090,7007
02100,
02105,
02110,7651
02122,8213
02130,7733
02150,5024
02158,19111
02164,
02170,6908
02180,14662
02185,10485
02188,16982
02195,
02198,13103
02220,5871
02230,
02240,7042
02261,7321
02275,
02282,
02290,18289
04001,15889
04003,7452
04005,8705
04007,14227
04009,8635
04011,7215
04012,15452
04013,6474
04015,10257
04017,13755
04019,7370
04021,6770
04023,5084
04025,7756
04027,6104
05001,11452
05003,9976
05005,8750
05007,6154
05009,8901
05011,11117
05013,12078
05015,10665
05017,13048
05019,9843
05021,11223
05023,10497
05025,11273
05027,8842
05029,10157
05031,8226
05033,9077
05035,12730
05037,12126
05039,10401
05041,13313
05043,11208
05045,7859
05047,12540
05049,11065
05051,11023
05053,8196
05055,10790
05057,9328
05059,11697
05061,10577
05063,9089
05065,11561
05067,11657
05069,12661
05071,9637
05073,10167
05075,11414
05077,10548
05079,9840
05081,10229
05083,9882
05085,9809
05087,12678
05089,10927
05091,11703
05093,13687
05095,19435
05097,7412
05099,10609
05101,9296
05103,10902
05105,8989
05107,14528
05109,7649
05111,13237
05113,8880
05115,8349
05117,10020
05119,9586
05121,12390
05123,11659
05125,8220
05127,12624
05129,10573
05131,9228
05133,9175
05135,11447
05137,11002
05139,12071
05141,9815
05143,7000
05145,9374
05147,12035
05149,11025
08001,6437
08003,9381
08005,5338
08007,6069
08009,
08011,10020
08013,4233
08014,4551
08015,5979
08017,
08019,5065
08021,11527
08023,
08025,
08027,
08029,7445
08031,6376
08033,
08035,3549
08037,3057
08039,5547
08041,7453
08043,7921
08045,5862
08047,
08049,5326
08051,4523
08053,
08055,12092
08057,
08059,5397
08061,
08063,6571
08065,6308
08067,5553
08069,5077
08071,14037
08073,5563
08075,7643
08077,7097
08079,
08081,7545
08083,9029
08085,7174
08087,8133
08089,9826
08091,
08093,7012
08095,
08097,3079
08099,8230
08101,9771
08103,6568
08105,9648
08107,5683
08109,10483
08111,
08113,
08115,
08117,3411
08119,7155
08121,9055
08123,5794
08125,5557
06001,4409
06003,
06005,6364
06007,7784
06009,7346
06011,6556
06013,4624
06015,8955
06017,5165
06019,7007
06021,7364
06023,8994
06025,6213
06027,8740
06029,7923
06031,6357
06033,11305
06035,7126
06037,5018
06039,6651
06041,3207
06043,8231
06045,7750
06047,6776
06049,10077
06051,3370
06053,5176
06055,4646
06057,5835
06059,4199
06061,4523
06063,8701
06065,5797
06067,6340
06069,5148
06071,6763
06073,4641
06075,4270
06077,7155
06079,5271
06081,3368
06083,5042
06085,3579
06087,4622
06089,9014
06091,
06093,9455
06095,6149
06097,4779
06099,7164
06101,7136
06103,8847
06105,11187
06107,7209
06109,7519
06111,4695
06113,4795
06115,9638
09001,4529
09003,6084
09005,5933
09007,5466
09009,6219
09011,6400
09013,5008
09015,7090
10001,7952
10003,7701
10005,8085
11001,8111
12001,6824
12003,10068
12005,9721
12007,10390
12009,8820
12011,6339
12013,10649
12015,8115
12017,11763
12019,7659
12021,5205
12023,10346
12027,8281
12029,10796
12031,9657
12033,9783
12035,7550
12037,8765
12039,9926
12041,8968
12043,9578
12045,9692
12047,9931
12049,6848
12051,8548
12053,8734
12055,9562
12057,6872
12059,9908
12061,6883
12063,10331
12065,9864
12067,9426
12069,7814
12071,7344
12073,6314
12075,10525
12077,7446
12079,9616
12081,7935
12083,10928
12085,7076
12086,5314
12087,7596
12089,9369
12091,8034
12093,10183
12095,6256
12097,6628
12099,6931
12101,8714
12103,8091
12105,8156
12107,12710
12109,5739
12111,7703
12113,7193
12115,7266
12117,6065
12119,8447
12121,9446
12123,10594
12125,16885
12127,9436
12129,8328
12131,7321
12133,10030
15001,7186
15003,5585
15005,
15007,6333
15009,5343
16001,5088
16003,
16005,8050
16007,7516
16009,9613
16011,8487
16013,3929
16015,
16017,6378
16019,7227
16021,7105
16023,
16025,
16027,6388
16029,6707
16031,8279
16033,
16035,9394
16037,
16039,6581
16041,9111
16043,5324
16045,7216
16047,9297
16049,8022
16051,5704
16053,7214
16055,6043
16057,5498
16059,8349
16061,
16063,6293
16065,3600
16067,7450
16069,7176
16071,
16073,10278
16075,8672
16077,7675
16079,9640
16081,3898
16083,7321
16085,4660
16087,5898
17001,7087
17003,9900
17005,7288
17007,6016
17009,5628
17011,7206
17013,
17015,6473
17017,7232
17019,5920
17021,7327
17023,7532
17025,7557
17027,6113
17029,6782
17031,7012
17033,6748
17035,6409
17037,5669
17039,8207
17041,6830
17043,4286
17045,8342
17047,6571
17049,6421
17051,7410
17053,7920
17055,9524
17057,8015
17059,10593
17061,9478
17063,6221
17065,6870
17067,7116
17069,12782
17071,7736
17073,6187
17075,9909
17077,8309
17079,5670
17081,9465
17083,8044
17085,7051
17087,7033
17089,4935
17091,8899
17093,4475
17095,7712
17097,4856
17099,8209
17101,8310
17103,6754
17105,8322
17107,7928
17109,6625
17111,5320
17113,5515
17115,8085
17117,8522
17119,8583
17121,11020
17123,8022
17125,7535
17127,11414
17129,7039
17131,7129
17133,4016
17135,8392
17137,7845
17139,5783
17141,6953
17143,8427
17145,6608
17147,6214
17149,8707
17151,
17153,9382
17155,
17157,8308
17159,8519
17161,7061
17163,9331
17165,10438
17167,7607
17169,9365
17171,9695
17173,6284
17175,8832
17177,6968
17179,6842
17181,9277
17183,10670
17185,5283
17187,6820
17189,7378
17191,7329
17193,9077
17195,7403
17197,5835
17199,7657
17201,9265
17203,5981
18001,7300
18003,8340
18005,7586
18007,6742
18009,10342
18011,6094
18013,8072
18015,6706
18017,9919
18019,9765
18021,9548
