FIPS,value
28139,34.1
13173,32.7
13321,31
37103,29.6
48455,29.3
05073,29
05147,26.8
46003,26.4
48379,26.3
35011,26.2
17127,26
01035,25.9
13177,25.3
13065,25.2
28019,25.1
22123,24.8
28013,24.8
21201,24.7
13161,24.3
40001,24.3
45089,24.2
13083,24.1
13301,24.1
48489,24
22013,23.9
05067,23.8
01011,23.7
48405,23.7
47061,23.6
13197,23.5
29017,23.5
48177,23.5
40063,23.4
01057,23.3
18009,23.3
20049,23.2
28051,23.1
01087,23
22117,23
45033,23
48293,23
13315,22.9
21165,22.9
13267,22.8
21013,22.6
29005,22.6
51135,22.6
51139,22.5
01025,22.4
13263,22.4
28127,22.4
29227,22.4
40141,22.4
51520,22.4
13237,22.3
28061,22.3
13163,22.2
18155,22.2
37083,22.2
22127,22.1
28015,22.1
37131,21.9
45067,21.9
37091,21.7
47185,21.7
48475,21.7
13235,21.6
17035,21.3
05137,21.2
19185,21.2
29211,21.2
47029,21.2
51685,21.2
54023,21.2
47019,21.1
06011,21
38085,21
05111,20.9
28027,20.9
28123,20.9
54103,20.9
01037,20.8
05081,20.8
12043,20.8
13199,20.8
47129,20.8
47143,20.8
48265,20.8
54045,20.8
13171,20.7
13229,20.7
45039,20.7
51089,20.7
13007,20.6
13317,20.6
22027,20.6
37061,20.6
51083,20.6
01119,20.5
13213,20.5
22043,20.5
29033,20.5
48497,20.5
01093,20.4
29151,20.4
37015,20.4
47097,20.4
13079,20.3
28147,20.3
48067,20.3
13169,20.2
37095,20.2
13149,20.1
22039,20.1
12039,20
29133,20
47115,20
01017,19.9
01131,19.9
20181,19.9
21025,19.9
26119,19.9
28009,19.9
28141,19.9
51820,19.9
13123,19.8
18153,19.8
21127,19.8
40107,19.8
54043,19.8
28007,19.7
48291,19.7
05035,19.6
06035,19.6
17153,19.6
29155,19.6
54005,19.6
01133,19.5
05135,19.5
28133,19.5
29025,19.5
48289,19.5
54047,19.5
54059,19.5
05043,19.4
13099,19.4
21133,19.4
21171,19.4
22023,19.4
22107,19.4
26051,19.4
28039,19.4
31117,19.4
51117,19.4
01043,19.3
01079,19.3
05001,19.3
13189,19.3
17065,19.3
26135,19.3
37153,19.3
40021,19.3
41031,19.3
47059,19.3
55083,19.3
01013,19.2
13081,19.2
22003,19.2
22065,19.2
31173,19.2
37017,19.2
13303,19.1
18125,19.1
19073,19.1
21215,19.1
28037,19.1
37047,19.1
45009,19.1
47063,19.1
01113,19
17147,19
18161,19
28117,19
29181,19
46102,19
48285,19
48377,19
13141,18.9
13201,18.9
13295,18.9
39087,18.9
48353,18.9
51071,18.9
51167,18.9
55077,18.9
01053,18.8
01075,18.8
05097,18.8
05121,18.8
13037,18.8
22083,18.8
29113,18.8
47069,18.8
48161,18.8
48503,18.8
51035,18.8
05107,18.7
18075,18.7
20205,18.7
24019,18.7
26027,18.7
28025,18.7
28029,18.7
29123,18.7
37027,18.7
41069,18.7
47171,18.7
48007,18.7
48357,18.7
54021,18.7
54063,18.7
01021,18.6
06049,18.6
28003,18.6
30019,18.6
48387,18.6
54093,18.6
05029,18.5
21149,18.5
26013,18.5
37007,18.5
37165,18.5
40105,18.5
45011,18.5
47177,18.5
54009,18.5
01099,18.4
05057,18.4
13005,18.4
28149,18.4
29067,18.4
40133,18.4
54099,18.4
05123,18.3
18017,18.3
19175,18.3
20075,18.3
37003,18.3
39053,18.3
46073,18.3
54019,18.3
01041,18.2
05127,18.2
13287,18.2
17107,18.2
19053,18.2
21063,18.2
21187,18.2
28069,18.2
29069,18.2
45069,18.2
48279,18.2
48459,18.2
48469,18.2
51191,18.2
28087,18.1
28131,18.1
37199,18.1
47079,18.1
47111,18.1
47173,18.1
48315,18.1
05083,18
21089,18
21095,18
22059,18
37011,18
39079,18
41013,18
48069,18
21115,17.9
21195,17.9
28067,17.9
42057,17.9
45049,17.9
48499,17.9
01065,17.8
05059,17.8
13071,17.8
13155,17.8
13217,17.8
18083,17.8
28163,17.8
37107,17.8
48053,17.8
48083,17.8
51011,17.8
13001,17.7
26031,17.7
26069,17.7
29091,17.7
29103,17.7
29111,17.7
40081,17.7
42087,17.7
01005,17.6
01091,17.6
13241,17.6
19117,17.6
21197,17.6
45037,17.6
45053,17.6
45075,17.6
46041,17.6
51036,17.6
51195,17.6
54071,17.6
01015,17.5
13013,17.5
17095,17.5
17187,17.5
21001,17.5
21109,17.5
37187,17.5
40077,17.5
45021,17.5
45061,17.5
46137,17.5
54053,17.5
01023,17.4
13107,17.4
21065,17.4
28097,17.4
39131,17.4
45025,17.4
46031,17.4
47101,17.4
51145,17.4
54107,17.4
55001,17.4
05093,17.3
12107,17.3
13193,17.3
17121,17.3
18095,17.3
20001,17.3
37009,17.3
40075,17.3
45081,17.3
47077,17.3
05013,17.2
05095,17.2
12079,17.2
13239,17.2
17101,17.2
21029,17.2
22031,17.2
30085,17.2
37141,17.2
51169,17.2
05025,17.1
13125,17.1
18145,17.1
21079,17.1
21137,17.1
26015,17.1
35031,17.1
47023,17.1
47041,17.1
48013,17.1
01009,17
05005,17
05089,17
18159,17
18177,17
19195,17
22037,17
28079,17
37121,17
45005,17
51105,17
51175,17
01061,16.9
05037,16.9
13039,16.9
13131,16.9
29027,16.9
40095,16.9
46109,16.9
47081,16.9
51141,16.9
51670,16.9
04001,16.8
12013,16.8
13181,16.8
18111,16.8
21071,16.8
21119,16.8
26153,16.8
28031,16.8
37143,16.8
47011,16.8
47045,16.8
47167,16.8
51029,16.8
51193,16.8
54105,16.8
13047,16.7
13049,16.7
21061,16.7
26035,16.7
28093,16.7
29115,16.7
37191,16.7
39111,16.7
39117,16.7
40071,16.7
40115,16.7
47089,16.7
47105,16.7
48079,16.7
48115,16.7
54001,16.7
01067,16.6
01129,16.6
05053,16.6
18021,16.6
18023,16.6
21101,16.6
26129,16.6
29055,16.6
29075,16.6
41021,16.6
48229,16.6
51005,16.6
51015,16.6
54033,16.6
01071,16.5
01111,16.5
13091,16.5
13175,16.5
13289,16.5
17183,16.5
18079,16.5
18165,16.5
22029,16.5
22075,16.5
28113,16.5
29201,16.5
35053,16.5
37041,16.5
37155,16.5
47049,16.5
48033,16.5
48239,16.5
48323,16.5
51065,16.5
05077,16.4
13085,16.4
20101,16.4
26011,16.4
37065,16.4
40129,16.4
47135,16.4
48143,16.4
54065,16.4
01121,16.3
05027,16.3
05129,16.3
12049,16.3
18053,16.3
19179,16.3
20185,16.3
22007,16.3
22111,16.3
47159,16.3
54015,16.3
54039,16.3
01033,16.2
39145,16.2
40069,16.2
40083,16.2
42061,16.2
46033,16.2
47073,16.2
47137,16.2
51049,16.2
01031,16.1
05011,16.1
12119,16.1
13093,16.1
13271,16.1
21057,16.1
21153,16.1
28101,16.1
28115,16.1
29125,16.1
29127,16.1
32015,16.1
39001,16.1
40079,16.1
40145,16.1
41049,16.1
48149,16.1
13075,16
13233,16
13265,16
13279,16
21007,16
21091,16
21193,16
28063,16
28135,16
29229,16
31015,16
45041,16
45065,16
46017,16
47053,16
47067,16
47139,16
48063,16
48365,16
48373,16
48395,16
48477,16
01047,15.9
01123,15.9
05069,15.9
12063,15.9
13195,15.9
18067,15.9
18093,15.9
28043,15.9
28109,15.9
37059,15.9
40091,15.9
40123,15.9
42121,15.9
48193,15.9
48305,15.9
51001,15.9
54041,15.9
01045,15.8
01051,15.8
01105,15.8
12053,15.8
13185,15.8
20021,15.8
21125,15.8
21131,15.8
21229,15.8
26097,15.8
29057,15.8
37057,15.8
40073,15.8
45001,15.8
47121,15.8
48471,15.8
51053,15.8
54073,15.8
01055,15.7
13191,15.7
19119,15.7
21181,15.7
22069,15.7
28077,15.7
28091,15.7
28095,15.7
29007,15.7
29023,15.7
29207,15.7
37137,15.7
39101,15.7
40135,15.7
45017,15.7
45023,15.7
45043,15.7
47013,15.7
47039,15.7
47051,15.7
48463,15.7
51019,15.7
51159,15.7
54025,15.7
54029,15.7
12055,15.6
13061,15.6
18065,15.6
19069,15.6
22081,15.6
29163,15.6
30035,15.6
45027,15.6
47131,15.6
47145,15.6
48077,15.6
51171,15.6
54051,15.6
05079,15.5
12003,15.5
13255,15.5
13291,15.5
19145,15.5
21159,15.5
22101,15.5
28085,15.5
31121,15.5
36073,15.5
39163,15.5
45029,15.5
45071,15.5
48145,15.5
48287,15.5
48401,15.5
51021,15.5
51173,15.5
04017,15.4
05021,15.4
05141,15.4
12029,15.4
18007,15.4
18119,15.4
28151,15.4
28153,15.4
37045,15.4
37049,15.4
40009,15.4
45031,15.4
47109,15.4
48093,15.4
48109,15.4
51101,15.4
51131,15.4
51187,15.4
01039,15.3
04007,15.3
21019,15.3
28161,15.3
29159,15.3
29175,15.3
40137,15.3
40147,15.3
48101,15.3
48123,15.3
48361,15.3
51091,15.3
01019,15.2
05003,15.2
12047,15.2
13111,15.2
17117,15.2
18107,15.2
20065,15.2
21043,15.2
22021,15.2
22047,15.2
24001,15.2
26141,15.2
26159,15.2
28005,15.2
28119,15.2
29087,15.2
29105,15.2
31149,15.2
37149,15.2
38073,15.2
39115,15.2
39119,15.2
40117,15.2
41037,15.2
54081,15.2
54109,15.2
55023,15.2
05051,15.1
05103,15.1
08009,15.1
12041,15.1
12083,15.1
13225,15.1
19085,15.1
20119,15.1
22099,15.1
27033,15.1
28023,15.1
28111,15.1
29011,15.1
37073,15.1
37163,15.1
39105,15.1
42113,15.1
45057,15.1
47075,15.1
47155,15.1
48347,15.1
48481,15.1
51025,15.1
01107,15
05033,15
12017,15
12023,15
13095,15
13261,15
20047,15
20133,15
20141,15
26039,15
39169,15
47035,15
47181,15
48277,15
51181,15
51650,15
53049,15
56031,15
02060,14.9
05105,14.9
12075,14.9
12105,14.9
13129,14.9
21005,14.9
21033,14.9
26079,14.9
28057,14.9
28083,14.9
37127,14.9
38079,14.9
39023,14.9
39081,14.9
39161,14.9
51007,14.9
54101,14.9
01059,14.8
05019,14.8
05117,14.8
12133,14.8
19007,14.8
21107,14.8
21223,14.8
27077,14.8
27167,14.8
28065,14.8
29143,14.8
37123,14.8
39097,14.8
39167,14.8
47099,14.8
47163,14.8
48037,14.8
48231,14.8
12027,14.7
12067,14.7
13087,14.7
13127,14.7
13167,14.7
13311,14.7
17169,14.7
21085,14.7
22041,14.7
29045,14.7
37171,14.7
48397,14.7
51137,14.7
54077,14.7
54097,14.7
05055,14.6
13247,14.6
17137,14.6
18175,14.6
19133,14.6
20127,14.6
21021,14.6
21167,14.6
28107,14.6
29177,14.6
30003,14.6
40029,14.6
42013,14.6
47031,14.6
48185,14.6
51057,14.6
51067,14.6
51155,14.6
01007,14.5
01063,14.5
05009,14.5
18183,14.5
21053,14.5
22079,14.5
26105,14.5
27001,14.5
30023,14.5
30051,14.5
39071,14.5
42031,14.5
47043,14.5
48203,14.5
48297,14.5
51009,14.5
54011,14.5
54035,14.5
02105,14.4
05133,14.4
12059,14.4
13115,14.4
13275,14.4
17083,14.4
17115,14.4
18045,14.4
20083,14.4
20199,14.4
22119,14.4
26041,14.4
26109,14.4
29041,14.4
34033,14.4
39175,14.4
40121,14.4
48399,14.4
48485,14.4
48487,14.4
51690,14.4
54031,14.4
55091,14.4
05109,14.3
06047,14.3
12093,14.3
18043,14.3
21147,14.3
28103,14.3
36123,14.3
37157,14.3
37195,14.3
40089,14.3
42021,14.3
45087,14.3
46115,14.3
48005,14.3
48407,14.3
51185,14.3
51730,14.3
54087,14.3
01127,14.2
18071,14.2
19003,14.2
21045,14.2
22051,14.2
26149,14.2
28099,14.2
29215,14.2
35051,14.2
39065,14.2
39141,14.2
45007,14.2
46121,14.2
46129,14.2
48245,14.2
04012,14.1
04027,14.1
05099,14.1
05149,14.1
13033,14.1
17059,14.1
17161,14.1
18025,14.1
18069,14.1
18143,14.1
20063,14.1
22073,14.1
26053,14.1
26113,14.1
26127,14.1
27127,14.1
39019,14.1
40011,14.1
41019,14.1
47005,14.1
48073,14.1
51147,14.1
54075,14.1
55037,14.1
01097,14
12121,14
13227,14
13273,14
17191,14
19099,14
22011,14
22097,14
28053,14
28137,14
29071,14
35047,14
37159,14
37193,14
38067,14
39047,14
40127,14
42051,14
51109,14
51620,14
01085,13.9
01101,13.9
05031,13.9
05049,13.9
08109,13.9
13019,13.9
13119,13.9
13145,13.9
13259,13.9
13319,13.9
18173,13.9
19137,13.9
20145,13.9
21225,13.9
26143,13.9
29049,13.9
29117,13.9
29171,13.9
29185,13.9
35006,13.9
38091,13.9
39027,13.9
39073,13.9
39155,13.9
40049,13.9
40053,13.9
40101,13.9
40111,13.9
42065,13.9
42107,13.9
45003,13.9
45085,13.9
46095,13.9
47025,13.9
47113,13.9
47175,13.9
48227,13.9
48331,13.9
51700,13.9
51790,13.9
53051,13.9
54057,13.9
01077,13.8
01083,13.8
01115,13.8
02275,13.8
05041,13.8
05063,13.8
06005,13.8
12125,13.8
13015,13.8
16077,13.8
19035,13.8
