FIPS,value

01001,15.02603126
01003,17.9583101
01005,12.84401555
01007,15.57004237
01009,14.23059383
01011,12.09410123
01013,11.85740343
01015,13.84223015
01017,12.74573462
01019,14.10656285
01021,14.50937458
01023,11.64229062
01025,11.86901052
01027,13.28650366
01029,14.46296652
01031,15.18329425
01033,14.69759291
01035,12.04270764
01037,12.67054033
01039,13.50030218
01041,14.6170099
01043,14.88718146
01045,14.53796137
01047,11.33825645
01049,12.45824953
01051,15.85290019
01053,12.97516836
01055,14.03053052
01057,13.51852394
01059,13.37365231
01061,13.72213958
01063,9.571575961
01065,11.40459807
01067,13.80933082
01069,13.52370177
01071,13.49201628
01073,14.68864353
01075,12.96669047
01077,13.74675543
01079,14.3314551
01081,15.74760323
01083,14.96338315
01085,10.35372988
01087,10.73504514
01089,15.58025881
01091,11.86980271
01093,14.03490007
01095,14.19656084
01097,15.19329811
01099,11.23033314
01101,13.85100674
01103,13.5503695
01105,9.686567271
01107,12.32901333
01109,15.00951282
01111,14.00682348
01113,13.28764591
01115,15.14834421
01117,17.04965513
01119,10.71973787
01121,13.93203336
01123,13.18244811
01125,16.05198808
01127,13.83630308
01129,13.98978232
01131,10.99889654
01133,13.56003941

02013,16.62579612
02016,19.19781601
02020,21.4687602
02050,21.59028775
02060,21.15521647
02068,22.98570107
02070,21.5928896
02090,22.84879939
02100,20.68094572
02105,18.30004718
02110,24.10706807
02122,21.27240704
02130,20.46348667
02150,21.96532612
02158,17.41944053
02164,20.7710089
02170,21.09418708
02180,21.54251367
02185,22.11557356
02188,21.03361694
02195,20.83461415
02198,19.55304556
02220,21.1765861
02230,23.33484956
02240,20.32525916
02261,24.60802819
02275,18.36431861
02282,19.97356013
02290,21.6874924

04001,12.94499582
04003,14.74556738
04005,17.40134319
04007,15.65961303
04009,17.13275089
04011,18.0303045
04012,13.04600532
04013,18.21042405
04015,16.14028829
04017,13.64950539
04019,16.97156459
04021,16.12945483
04023,14.1389325
04025,16.69477185
04027,17.70614739

05001,13.73710983
05003,12.66634834
05005,12.97732178
05007,17.61549385
05009,14.1998449
05011,12.55795627
05013,13.25279097
05015,13.4055378
05017,10.90987935
05019,14.85533236
05021,13.95560894
05023,14.05820247
05025,14.710687
05027,13.82732472
05029,14.48456905
05031,15.00349026
05033,14.47752553
05035,12.54750659
05037,13.20263071
05039,12.14312763
05041,11.03124494
05043,13.69853774
05045,17.89497931
05047,13.77531594
05049,12.4457748
05051,13.56056605
05053,15.67950157
05055,15.70129806
05057,12.19343113
05059,15.59256811
05061,12.72204331
05063,14.55546734
05065,13.51724725
05067,13.5387336
05069,13.04648318
05071,14.2692565
05073,11.84701273
05075,14.63436095
05077,12.71141466
05079,15.39557162
05081,13.22499882
05083,14.09908409
05085,15.84128581
05087,14.5811263
05089,13.28250752
05091,13.59145019
05093,12.77043892
05095,11.09457664
05097,12.61821602
05099,12.41977329
05101,13.24636001
05103,12.15617225
05105,14.61265241
05107,10.05838221
05109,14.33172554
05111,14.25844127
05113,12.92156587
05115,16.00428979
05117,13.54815403
05119,15.28061985
05121,13.94958234
05123,12.55032273
05125,17.40430048
05127,13.8597031
05129,13.33797924
05131,14.71017687
05133,13.35090244
05135,12.3212484
05137,12.64900236
05139,12.87547779
05141,13.07000652
05143,17.00732717
05145,15.03484265
05147,12.35474454
05149,13.86090471

06001,19.88966944
06003,19.6390587
06005,21.10909291
06007,20.20733398
06009,20.18106761
06011,20.12134238
06013,19.59570991
06015,19.89952383
06017,22.29160361
06019,16.51386204
06021,19.83658732
06023,20.62919343
06025,17.11969222
06027,19.71901434
06029,18.29198312
06031,20.66593478
06033,18.75564037
06035,23.872978
06037,18.86232279
06039,19.55587506
06041,20.2981286
06043,18.76973049
06045,18.97486116
06047,18.61168181
06049,17.67777063
06051,22.5441579
06053,19.16487141
06055,20.17622332
06057,20.82297497
06059,19.9251247
06061,19.61832741
06063,19.34856664
06065,20.43944116
06067,19.95329848
06069,20.73269584
06071,18.76327985
06073,21.60061255
06075,23.11654878
06077,19.69440123
06079,20.26499841
06081,18.83359167
06083,20.85840515
06085,16.73411416
06087,23.17492924
06089,19.26373905
06091,18.04612148
06093,18.48666936
06095,19.78697842
06097,21.61046889
06099,20.54713654
06101,18.87089076
06103,18.83095996
06105,18.38994467
06107,18.02142231
06109,21.10129387
06111,18.56543089
06113,21.20774079
06115,20.73637063

08001,18.91545736
08003,16.53937724
08005,17.88184113
08007,15.93227939
08009,15.88423642
08011,17.80227007
08013,20.2267177
08014,20.12319489
08015,18.55828623
08017,18.07566148
08019,20.32587828
08021,14.58296798
08023,12.29985639
08025,19.60199638
08027,15.23196398
08029,15.38781663
08031,26.60942109
08033,15.93664471
08035,20.95500966
08037,22.05494453
08039,19.39336172
08041,16.58514934
08043,18.32150707
08045,20.75012162
08047,19.78549866
08049,19.32075133
08051,21.62639132
08053,16.38983543
08055,13.80749855
08057,17.25196265
08059,22.11010004
08061,16.5675705
08063,17.71473907
08065,19.99934887
08067,20.1989828
08069,21.97965746
08071,15.29639903
08073,19.6444394
08075,18.97988693
08077,19.72556571
08079,16.27984026
08081,18.45597848
08083,16.65515847
08085,14.95676199
08087,18.51593456
08089,15.28550395
08091,17.41780006
08093,18.82209281
08095,16.96734942
08097,20.11480216
08099,16.9549796
08101,15.8569626
08103,19.71228813
08105,16.0808704
08107,22.88948576
08109,13.86024377
08111,17.15061503
08113,20.37655323
08115,16.31791768
08117,22.31589575
08119,18.06994027
08121,17.92768181
08123,17.89691657
08125,17.20814663

09001,19.40118911
09003,15.66000421
09005,17.63499124
09007,19.08250645
09009,18.55410878
09011,17.84605154
09013,19.0501883
09015,17.23257416

10001,16.58089052
10003,19.43883135
10005,16.43326823

11001,27.3130182

12001,18.67660708
12003,19.23074902
12005,17.62502751
12007,18.5855412
12009,18.77773923
12011,17.92214666
12013,17.33881414
12015,16.48777838
12017,15.25054668
12019,21.10753309
12021,18.10374792
12023,16.68089685
12027,17.39328843
12029,18.67429647
12031,18.69862844
12033,19.8242192
12035,16.83536854
12037,21.51439846
12039,14.70561183
12041,18.57401773
12043,17.43331774
12045,19.20581662
12047,15.43200095
12049,15.91197409
12051,15.23187968
12053,16.24173524
12055,14.62763292
12057,19.41962759
12059,15.9747692
12061,18.66944615
12063,15.56922193
12065,16.9534458
12067,17.89722602
12069,16.84394781
12071,17.01634573
12073,19.27241102
12075,16.99652293
12077,17.31415482
12079,13.98891512
12081,18.88198516
12083,16.54461165
12085,18.37221867
12086,16.34357242
12087,20.80726509
12089,20.81148722
12091,19.41648536
12093,16.70962933
12095,17.47854305
12097,16.08717003
12099,15.35251639
12101,17.60637103
12103,20.61914144
12105,16.58453762
12107,15.88497999
12109,22.40681783
12111,15.8194907
12113,19.45682281
12115,17.79825779
12117,17.94131013
12119,12.77227757
12121,16.24102796
12123,17.69175131
12125,17.25294084
12127,16.38273236
12129,19.77228269
12131,17.02803821
12133,15.76660551

13001,14.31023475
13003,13.9493852
13005,15.13291877
13007,13.16086499
13009,14.37955037
13011,16.29734436
13013,17.29998245
13015,17.56382111
13017,13.09610796
13019,15.51545975
13021,13.01527087
13023,15.00492826
13025,15.34337988
13027,13.36115896
13029,18.11420888
13031,16.8208744
