FIPS,value
01001,26.78571429
01003,30.76923077
01005,40
01007,27.5862069
01009,19.44444444
01011,60
01013,27.45098039
01015,18.75
01017,28.57142857
01019,19.60784314
01021,16.04938272
01023,50
01025,29.72972973
01027,40
01029,29.16666667
01031,35.8490566
01033,22.36842105
01035,31.25
01037,29.41176471
01039,22.44897959
01041,41.17647059
01043,30.4
01045,29.54545455
01047,54.71698113
01049,30.37974684
01051,37.97468354
01053,34.92063492
01055,18.94736842
01057,42.10526316
01059,11.42857143
01061,38.46153846
01063,24.3902439
01065,25
01067,23.52941177
01069,25
01071,25
01073,16.152019
01075,7.142857143
01077,25.30120482
01079,27.65957447
01081,28.73563218
01083,26.1682243
01085,31.25
01087,35.18518519
01089,32.0441989
01091,35.48387097
01093,16.12903226
01095,24.09638554
01097,34.93333333
01099,29.03225807
01101,28.2208589
01103,26.02739726
01105,58.33333333
01107,22.72727273
01109,38.46153846
01111,40.74074074
01113,18.68131868
01115,18.36734694
01117,21.55172414
01119,36.66666667
01121,26.36363636
01123,23.07692308
01125,33.16062176
01127,24.48979592
01129,40
01131,48
01133,20
02013,
02016,100
02020,27.19298246
02050,60
02060,0
02068,27.27272727
02070,50
02090,39.58333333
02100,0
02105,
02110,50
02122,31.42857143
02130,66.66666667
02150,
02158,100
02164,
02170,37.23404255
02180,100
02185,25
02188,0
02195,
02198,60
02220,
02230,
02240,25
02261,71.42857143
02275,
02282,
02290,28.57142857
04001,29.44444444
04003,31.31313131
04005,22.67206478
04007,21.36752137
04009,36.11111111
04011,66.66666667
04012,10.46511628
04013,25.70390554
04015,24.88479263
04017,25.33936652
04019,28.24858757
04021,25.65789474
04023,23.33333333
04025,17.90393013
04027,29.03225807
05001,46.15384615
05003,25
05005,25
05007,27.72277228
05009,15.78947368
05011,0
05013,16.66666667
05015,35.8490566
05017,11.11111111
05019,38.46153846
05021,27.5862069
05023,22.22222222
05025,25
05027,40
05029,26.08695652
05031,21.95121951
05033,34.48275862
05035,21.42857143
05037,22.22222222
05039,22.22222222
05041,36.36363636
05043,16.66666667
05045,22.89156627
05047,25.92592593
05049,21.42857143
05051,29.24528302
05053,19.04761905
05055,13.04347826
05057,28.57142857
05059,23.94366197
05061,37.5
05063,37.14285714
05065,37.5
05067,33.33333333
05069,28.57142857
05071,12.5
05073,20
05075,24.3902439
05077,55.55555556
05079,20
05081,33.33333333
05083,43.75
05085,23.63636364
05087,22.22222222
05089,6.25
05091,25.45454546
05093,28.125
05095,36.84210526
05097,37.5
