FIPS,value

01001,69.13012406
01003,73.71354895
01005,53.16676986
01007,16.25136374
01009,15.63448589
01011,2.501374382
01013,48.57974889
01015,47.7212158
01017,61.86467923
01019,33.42952788
01021,46.29379282
01023,28.93426654
01025,25.27000348
01027,63.78122308
01029,41.48410366
01031,53.72387283
01033,55.73234365
01035,37.01995767
01037,6.421700321
01039,50.23434397
01041,22.35006472
01043,41.65360794
01045,46.38713657
01047,59.63715199
01049,45.03789956
01051,51.73070376
01053,48.13017041
01055,49.49439816
01057,34.16275158
01059,58.14723694
01061,20.20530049
01063,6.224433389
01065,29.89847716
01067,25.30921281
01069,66.54455572
01071,47.19033573
01073,78.62774995
01075,10.3131008
01077,65.49202343
01079,48.98511896
01081,67.74904276
01083,60.96736005
01085,4.867687406
01087,31.33973522
01089,69.31343355
01091,42.9352737
01093,47.03340265
01095,54.41898967
01097,70.21758291
01099,51.5432634
01101,73.78478656
01103,59.2292242
01105,52.72401095
01107,5.884736149
01109,51.41797623
01111,40.66687034
01113,64.34925492
01115,42.33249196
01117,83.69838788
01119,36.32202282
01121,48.02104726
01123,68.80526721
01125,75.66065264
01127,43.98490071
01129,18.28678687
01131,5.741216795
01133,76.37232478

02013,100
02016,100
02020,100
02050,100
02060,100
02068,100
02070,100
02090,100
02100,100
02105,
02110,100
02122,100
02130,100
02150,100
02158,
02164,100
02170,100
02180,100
02185,100
02188,100
02195,
02198,
02220,100
02230,
02240,100
02261,100
02275,
02282,100
02290,100

04001,19.29444336
04003,59.66607282
04005,82.8761875
04007,91.50698733
04009,55.59914025
04011,46.1419936
04012,39.05998341
04013,91.60261527
04015,58.57052941
04017,56.34766261
04019,87.84632288
04021,66.04864678
04023,66.6617461
04025,84.5303815
04027,83.55359615

05001,47.95204795
05003,50.06177642
05005,65.1193602
05007,77.30449672
05009,53.95767282
05011,66.99687174
05013,10.58122206
05015,52.2444072
05017,29.42372881
05019,66.87975647
05021,52.17931978
05023,65.79129765
05025,1.242950857
05027,41.73183447
05029,42.91355239
05031,64.56663522
05033,74.44953832
05035,73.01677734
05037,49.72579743
05039,18.48201084
