FIPS,value
01001,34.7
01003,26.5
01005,23.5
01007,33.5
01009,30.3
01011,24.6
01013,39.5
01015,31.7
01017,30.1
01019,31.3
01021,33.2
01023,36.2
01025,34.6
01027,32.6
01029,31.3
01031,30.8
01033,36.6
01035,40.7
01037,35.3
01039,35.5
01041,33.5
01043,36.7
01045,32
01047,26.9
01049,31.7
01051,26.4
01053,32.4
01055,34.1
01057,33.7
01059,38.1
01061,36.8
01063,18.3
01065,27.8
01067,35.4
01069,30.6
01071,29.1
01073,30.1
01075,36.5
01077,28.5
01079,36.4
01081,21.3
01083,29.3
01085,33.7
01087,32.3
01089,22
01091,32.4
01093,31.3
01095,36.2
01097,30.6
01099,33.7
01101,28.7
01103,26.6
01105,34.6
01107,25.5
01109,27.8
01111,34.2
01113,31.5
01115,30.7
01117,25
01119,37.6
01121,34.9
01123,30
01125,30
01127,35.7
01129,34.1
01131,36.8
01133,32.2
02013,30
02016,30.1
02020,17.6
02050,31.3
02060,28.8
02068,18.1
02070,23.9
02090,18.2
02100,20.8
02105,19
02110,16
02122,22.5
02130,19.2
02150,24.5
02158,27.8
02164,22.2
02170,22
02180,24.9
02185,35.4
02188,26.7
02195,18.2
02198,22.8
02220,17.5
02230,19.2
02240,18.6
02261,19.1
02275,30.4
02282,23
02290,24
04001,27.2
04003,24.7
04005,17
04007,27.1
04009,23.3
04011,22.3
04012,39.6
04013,20.4
04015,32.2
04017,28.9
04019,19.8
04021,28.5
04023,20.3
04025,23.2
04027,26.3
05001,38.2
05003,47.4
05005,29.8
05007,23.8
05009,30.2
05011,40.8
05013,37.1
05015,33.5
05017,35.6
05019,38.3
05021,31.9
05023,34.3
05025,32.9
05027,34.3
05029,38.3
05031,34
05033,31
05035,37.8
05037,36.5
05039,44.6
05041,36.8
05043,30.1
05045,30.2
05047,37
05049,29.9
05051,34.9
05053,39
05055,33.4
05057,36.4
05059,37.5
05061,29.5
05063,29.8
05065,30.5
05067,33.1
05069,34.1
05071,28.9
05073,45.4
05075,31
