FIPS,value
01001,78.06872
01003,78.90195
01005,92.86825
01007,93.56803
01009,93.90086
01011,92.38166
01013,89.53866
01015,85.31967
01017,91.36645
01019,88.63049
01021,93.06393
01023,89.73593
01025,95.55824
01027,95.97701
01029,85.95744
01031,81.22324
01033,84.72018
01035,90.33375
01037,90.14344
01039,92.46894
01041,89.71193
01043,89.4127
01045,85.25677
01047,87.97332
01049,86.1495
01051,77.74611
01053,92.48567
01055,86.69469
01057,93.35347
01059,95.51519
01061,92.01444
01063,93.93806
01065,89.40363
01067,88.39442
01069,87.75289
01071,88.45832
01073,77.75187
01075,88.80658
01077,82.01185
01079,84.78218
01081,77.66162
01083,76.36493
01085,91.38737
01087,79.93942
01089,63.78291
01091,88.72604
01093,91.4145
01095,83.74558
01097,83.4645
01099,91.3078
01101,76.86126
01103,84.94385
01105,86.38557
01107,92.25087
01109,87.2447
01111,92.56777
01113,83.43893
01115,88.98848
01117,65.18103
01119,85.66541
01121,93.16726
01123,93.24465
01125,79.92195
01127,87.92946
01129,90.1155
01131,92.91211
01133,86.10422
02013,90.09991
02016,86.26785
02020,76.57049
02050,95.11073
02060,88.34586
02068,59.45017
02070,90.9894
02090,77.44465
02100,77.03488
02110,78.26802
02122,86.00629
02130,81.08291
02150,86.40116
02158,97.90362
02164,96.28433
02170,86.64395
02180,94.67865
02185,91.95402
02188,95.41441
02195,86.22951
02198,90.3758
02220,84.49612
02240,91
02261,84.77342
02282,92.85714
02290,94.0902
04001,92.66503
04003,83.21382
04005,85.49284
04007,91.3867
04009,92.1949
04011,92.23839
04012,90.30514
04013,77.68391
04015,84.52212
04017,93.45251
04019,79.85831
04021,87.85877
04023,85.51511
04025,86.38453
04027,85.58373
05001,95.24686
05003,94.67213
05005,81.07725
05007,71.42297
05009,88.7763
05011,94.81779
05013,92.08145
05015,83.46817
05017,89.18338
05019,79.00422
05021,98.4
05023,89.50472
05025,81.24118
05027,90.06155
05029,88.47737
05031,76.34305
05033,85.79733
05035,87.77015
05037,90.0436
05039,90.131
05041,92.70257
05043,83.61467
05045,70.32984
05047,94.72097
05049,96.28378
05051,86.53083
05053,78.56094
05055,90.96672
05057,91.31622
05059,89.78466
05061,91.70696
05063,87.94622
05065,90.9427
05067,95.61688
05069,81.27757
05071,95.64888
05073,89.41942
05075,84.42623
05077,93.97238
05079,94.62687
05081,91.91686
05083,96.06035
05085,82.83011
05087,100
05089,88.69936
05091,89.71372
05093,91.04702
05095,90.90034
05097,82.41309
05099,92.34642
05101,62.8
05103,87.19386
05105,86.77884
05107,89.74673
05109,93.45912
05111,93.3414
05113,93.63191
05115,91.8936
05117,93.95109
05119,80.76502
05121,90.32815
05123,90.16442
05125,74.59
05127,82.29008
05129,99.16434
05131,91.513
05133,95.64246
05135,86.85065
05137,91.69055
05139,90.12398
05141,86.77419
05143,82.60083
05145,81.94517
05147,91.42012
05149,90.53168
06001,56.56011
06003,91.78572
06005,85.958
06007,78.90617
06009,90.29559
06011,91.89259
06013,64.98148
06015,90.21353
06017,65.00627
06019,83.8203
06021,92.51456
06023,76.60038
06025,88.16398
06027,89.31375
06029,88.76989
06031,90.55973
06033,92.02607
06035,95.6083
06037,75.09749
06039,88.12426
06041,61.49642
06043,88.6402
06045,84.98962
06047,90.23696
06049,90.88099
06051,89.06498
06053,87.67653
06055,76.70127
06057,66.27312
06059,66.7244
06061,57.85321
06063,80
06065,82.84507
06067,73.15242
06069,87.10604
06071,81.42177
06073,71.71639
06075,54.5856
06077,84.25059
06079,79.94754
06081,54.00048
06083,83.14811
06085,50.4167
06087,81.1435
06089,82.1336
06091,94.32315
06093,85.38697
06095,75.93001
06097,80.35815
06099,88.20155
06101,85.00333
06103,87.05043
06105,82.47423
06107,90.00252
06109,88.7328
06111,77.98877
06113,70.16152
06115,85.3981
08001,84.56002
08003,83.01642
08005,71.56782
08007,83.34235
08009,84.9866
08011,95.03722
08013,56.5006
08014,48.59071
08015,89.99042
08017,81.38528
08019,68.78049
08021,86.64429
08023,88.38673
08025,95
08027,60.28037
08029,91.03876
08031,74.60347
08033,67.79661
08035,42.82399
08037,82.66934
08039,68.68237
08041,72.21411
08043,95.34112
08045,90.29189
08047,79.43262
08049,82.60869
08051,70.94017
08053,75.43859
08055,89.93526
08057,94.16059
08059,69.5378
08061,72.22222
08063,93.82171
08065,87.10712
08067,77.63275
08069,66.8659
08071,89.85347
08073,96.60665
08075,82.10953
08077,83.99972
08079,53.44827
08081,94.23978
08083,86.14173
08085,87.09031
08087,92.88461
08089,92.23223
08091,50.67873
08093,78.89823
08095,86.43123
08097,74.60203
08099,90.0607
08101,85.88563
08103,78.03738
08105,87.95779
08107,66.94058
08109,94.85112
08111,100
08113,54.60218
08115,89.21568
08117,77.94219
08119,68.82277
08121,93.92097
08123,88.41465
08125,84.54106
09001,69.72201
09003,72.21311
09005,68.33937
09007,62.5628
09009,76.36698
09011,73.61811
09013,41.94236
09015,77.78676
10001,79.42024
10003,71.06116
10005,85.24044
11001,61.29614
12001,66.41253
12003,89.95215
12005,81.71704
12007,94.66916
12009,71.17633
12011,72.28832
12013,95.51771
12015,80.32285
12017,72.96414
12019,78.79512
12021,82.58478
12023,91.87064
12027,94.55653
12029,94.00333
12031,74.85682
12033,80.10449
12035,81.59487
12037,91.51415
12039,86.96333
12041,80.93346
12043,94.59295
12045,95.92682
12047,93.79458
12049,92.98974
12051,96.66646
12053,81.67536
12055,83.64528
12057,73.03085
12059,95.08108
12061,86.17695
12063,91.08751
12065,90.00477
12067,87.46284
12069,79.7731
12071,79.92592
12073,67.83084
12075,88.7574
12077,97.2456
12079,92.3279
12081,80.29408
12083,81.55464
12085,77.73993
12086,72.14873
12087,80.34112
12089,76.17794
12091,77.30848
12093,91.53901
12095,71.63562
12097,78.09507
12099,74.93169
12101,71.74826
12103,74.13202
12105,84.38151
12107,91.81687
12109,55.07493
12111,82.65738
12113,72.06126
12115,77.62908
12117,61.62558
12119,91.12159
12121,88.19466
12123,95.40496
12125,93.93772
12127,78.65893
12129,88.00167
12131,75.35725
12133,90.92134
13001,96.07042
13003,97.22793
13005,94.48621
13007,85.34234
13009,88.55062
13011,92.59259
13013,83.41969
13015,89.82071
13017,91.86679
13019,94.8006
13021,80.1657
13023,92.11357
13025,94.4591
13027,90.23374
13029,70.99698
13031,80.04813
13033,92.28828
13035,92.07625
13037,92.44604
13039,77.24224
13043,91.40008
13045,91.58359
13047,77.60637
13049,93.94786
13051,80.6796
13053,68.42105
13055,93.55731
13057,70.71556
13059,81.70214
13061,95.59972
13063,78.65144
13065,94.84012
13067,57.09151
13069,93.96248
13071,94.69891
13073,63.60892
13075,87.20137
13077,69.52547
13079,87.14932
13081,93.46622
13083,72.32143
13085,77.02407
13087,91.41631
13089,66.82134
13091,89.12317
13093,94.42907
13095,82.82212
13097,74.84939
13099,90.15817
13101,98.73737
13103,75.1269
13105,94.46437
13107,92.49953
13109,90.85556
13111,95.94595
13113,54.79267
13115,90.13649
13117,41.0436
13119,87.57669
13121,60.64112
13123,91.43819
13125,97.41379
13127,83.92245
13129,84.99122
13131,91.25674
13133,93.79296
13135,68.97672
13137,89.07001
13139,91.74194
13141,93.61657
13143,83.45771
13145,82.75793
13147,90.0434
13149,91.09347
13151,69.34997
13153,70.55213
13155,85.11345
13157,89.84375
13159,88.87897
13161,94.95835
13163,93.73288
13165,93.70563
13167,94.35028
13169,81.30618
13171,87.62016
13173,85.20867
13175,87.81722
13177,71.73705
13179,82.11876
13181,90.49724
13183,85.67781
13185,88.04529
13187,83.07906
13189,90.64516
13191,94.79679
13193,94.50797
13195,85.31982
13197,92.92111
13199,91.65534
13201,96.90881
13205,91.93569
13207,85.15109
13209,92.99429
13211,92.72842
13213,94.85714
13215,82.5264
13217,74.57755
13219,60.75015
13221,96.82798
13223,67.19521
13225,79.62382
13227,81.32601
13229,93.71069
13231,85.28325
13233,90.24003
13235,89.43709
13237,92.9038
13239,97.11816
13241,91.07835
13243,96.65676
13245,80.34256
13247,72.45145
13249,91.57808
13251,94.26927
13253,93.02099
13255,84.86407
13257,96.30705
13259,93.46976
13261,90.39792
13263,92.45496
13265,94.22633
13267,95.25248
13269,93.90351
13271,95.03289
13273,92.99291
13275,86.24779
13277,91.80145
13279,94.42323
13281,55.18395
13283,93.13653
13285,95.94483
13287,92.44959
13289,89.18071
13291,86.74157
13293,91.68574
13295,81.248
13297,89.74634
13299,91.61578
13301,89.87069
13303,93.43853
13305,91.57453
13307,96.763
13309,91.17781
13311,79.38631
13313,89.40024
13315,95.09844
13317,94.32075
13319,93.52826
13321,90.9826
15001,75.49965
15003,68.39452
15005,88.67924
15007,72.31908
15009,76.61543
16001,67.71144
16003,87.32395
16005,79.13832
16007,84.75336
16009,89.2647
16011,92.39393
16013,87.60155
16015,74.86486
16017,80.80636
16019,90.64581
16021,82.19814
16023,39.28571
16025,100
16027,92.7292
16029,81.87702
16031,91.93642
16033,90.19608
16035,92.50937
16037,78.82353
16039,89.33002
16041,94.59459
16043,92.70152
16045,85.41667
16047,92.61637
16049,86.86131
16051,92.79438
16053,96.62356
16055,78.68442
16057,52.56892
16059,94.13793
16061,88.42444
16063,94.06495
16065,76.81682
16067,96.69359
16069,82.58324
16071,96.22642
16073,91.32036
16075,94.60765
16077,98.76965
16079,87.77614
16081,91.01563
16083,86.09847
16085,78.08765
16087,94.7619
17001,78.60945
17003,84.67202
17005,83.95678
17007,84.43591
17009,98.44633
17011,83.97247
17013,98.93617
17015,84.67584
17017,90.10849
17019,57.25256
17021,71.97331
17023,84.13284
17025,57.68025
17027,86.75926
17029,64.15094
17031,73.21679
17033,92.04546
17035,94.47853
17037,64.23892
17039,90.96916
17041,91.20631
17043,55.47181
17045,88.62275
17047,88.88889
17049,74.66488
17051,95.25723
17053,74.63617
17055,78.10781
17057,90.5531
17059,99.13043
17061,87.26708
17063,81.74493
17065,87.87879
17067,71.01449
17069,97.54099
17071,84.66667
17073,80.63411
17075,86.60653
17077,66.0769
17079,64.23358
17081,81.38542
17083,74.86486
17085,90.18613
17087,98.46841
17089,81.99207
17091,83.97598
17093,63.78719
17095,90.58337
17097,69.76026
17099,88.57084
17101,94.35396
17103,87.44023
17105,89.97988
17107,91.16945
17109,54.91228
17111,72.08469
17113,51.84208
17115,87.16283
17117,76.38889
17119,83.02327
17121,80.37331
17123,81
17125,87.3817
17127,83.21537
17129,77.41935
17131,82.35294
17133,66.57264
17135,96.89881
17137,89.5749
17139,80.97166
17141,87.84212
17143,73.44474
17145,96.06903
17147,57.66017
17149,88.98072
17151,97.66537
17153,86.19926
17155,96.95817
17157,95.17937
17159,66.759
17161,80.89345
17163,82.60117
17165,83.86809
17167,76.58525
17169,92.03821
17171,82
17173,64.41718
17175,70.16129
17177,87.71039
17179,77.4101
17181,90.40349
17183,90.3969
17185,86.55914
17187,79.60057
17189,81.17647
17191,83.38462
17193,86.93877
17195,87.72515
17197,73.65992
17199,67.20183
17201,83.08178
17203,60.02656
18001,85.49822
18003,82.88962
18005,44.60294
18007,91.4557
18009,98.2808
18011,57.19352
18013,77.34205
18015,86.91589
18017,90.75315
18019,71.50792
18021,84.34783
18023,94.47853
18025,94.84536
18027,89.29856
18029,85.92592
18031,66.04027
18033,78.82883
18035,76.63389
18037,90.60807
18039,90.84842
18041,88.92733
18043,84.04993
18045,80.69414
18047,67
18049,88.03047
18051,91.28151
18053,91.70532
18055,73.33333
18057,39.47535
18059,56.48556
18061,78.85264
18063,69.93386
18065,89.92693
18067,84.65697
18069,83.86793
18071,79.75693
18073,87.85667
18075,93.50105
18077,79.29249
18079,86.59371
18081,63.3471
18083,85.14377
18085,73.62965
18087,89.22764
18089,82.73745
18091,89.10242
18093,81.53565
18095,89.14424
18097,78.93181
18099,86.93612
18101,88.4058
18103,91.28755
18105,37.11591
18107,85.73273
18109,60.05155
18111,82.15686
18113,97.37285
18115,84.73282
18117,91.34438
18119,72.49545
18121,89.22057
18123,94.50704
18125,89.69697
18127,74.8538
18129,80.59965
18131,92.8934
18133,82.79762
18135,96.12121
18137,80.18742
18139,70.92391
18141,74.94628
18143,98.04688
18145,74.03164
18147,90.71567
18149,84.45513
18151,88.22314
18153,92.8897
18155,84.58647
18157,57.31095
18159,82.29572
18161,54.94505
18163,84.03857
18165,90.14493
18167,70.92533
18169,87.16518
18171,84.5
18173,63.62001
18175,81.33333
18177,89.94778
18179,86.31579
18181,91.8807
18183,78.38785
19001,86.13139
19003,98.55072
19005,83.30435
19007,83.70166
19009,92.36111
19011,54.6697
19013,77.76152
19015,76.6323
19017,57.68322
19019,59.16399
19021,93.96467
19023,72.05387
19025,82.69231
19027,66.16541
19029,86.35236
19031,87.8866
19033,86.62763
19035,87.57225
19037,90.59829
19039,84.70097
19041,92.50937
19043,91.11111
19045,80.27806
19047,98.41327
19049,46.54858
19051,46.34146
19053,80.55556
19055,90.13605
19057,87.4299
19059,58.19209
19061,62.69914
19063,93.81899
19065,78.60963
19067,70.88847
19069,100
19071,94.4186
19073,80.26906
19075,50
19077,80.07663
19079,80.41775
19081,93.61111
19083,91.0061
19085,69.37269
19087,84.17323
19089,94.15584
19091,84
19093,87.62887
19095,94.66667
19097,84.24821
19099,86.1276
19101,53.80623
19103,52.86247
