FIPS,value
01001,15.67463
01003,27.18652
01005,21.39452
01007,14.68505
01009,43.46448
01011,18.31254
01013,21.17857
01015,14.68936
01017,20.94595
01019,17.36178
01021,38.65511
01023,27.08086
01025,21.89547
01027,22.95775
01029,49.44444
01031,20.83432
01033,19.62519
01035,27.16895
01037,11.04015
01039,20.88863
01041,23.23914
01043,22.91788
01045,17.73465
01047,21.5205
01049,49.85259
01051,19.97241
01053,27.97145
01055,20.5247
01057,12.0473
01059,31.49211
01061,31.87285
01063,20.7609
01065,18.93642
01067,22.31593
01069,28.38952
01071,25.03898
01073,19.10976
01075,3.75
01077,23.17529
01079,9.83319
01081,13.1923
01083,13.52412
01085,16.95728
01087,13.1021
01089,17.5842
01091,18.95649
01093,27.2361
01095,31.56002
01097,21.76823
01099,30.06501
01101,19.00241
01103,26.70389
01105,21.85535
01107,19.17724
01109,20.87958
01111,21.84741
01113,19.57605
01115,28.7872
01117,21.4354
01119,28.86685
01121,20.34454
01123,18.14922
01125,16.82977
01127,25.24837
01129,13.81407
01131,24.18194
01133,33.62319
02013,58.78253
02016,22.92827
02020,18.97866
02050,33.38409
02060,32.12851
02068,42.5
02070,38.04486
02090,14.54196
02100,36.73469
02110,23.28313
02122,37.62734
02130,23.7909
02150,32.66733
02158,34.26713
02164,50.52317
02170,27.69861
02180,37.1351
02185,31.80259
02188,44.56313
02195,16.15599
02198,49.52189
02220,38.43243
02240,24.70998
02261,38.59208
02282,33.04721
02290,47.97186
04001,39.49814
04003,14.1486
04005,21.87643
04007,18.40646
04009,15.67796
04011,12.0962
04012,23.94983
04013,21.77269
04015,17.4898
04017,17.85227
04019,18.68613
04021,17.19892
04023,18.61874
04025,28.87583
04027,15.77287
05001,10.72721
05003,22.37316
05005,4.0201
05007,18.62813
05009,11.08415
05011,23.72881
05013,16.50619
05015,40.55738
05017,17.76593
05019,15.56218
05021,9.64912
05023,41.0072
05025,18.59756
05027,14.00669
05029,18.51681
05031,29.43642
05033,25.9407
05035,16.87846
05037,8.63281
05039,12.67232
05041,13.00883
05043,12.58921
05045,14.7861
05047,21.45015
05049,15.74344
05051,28.25963
05053,5.82525
05055,22.60084
05057,18.51495
