FIPS,value
02158,21.24781325
22107,21.0132251
54047,20.6994495
22035,20.59838651
01105,20.0020255
21147,19.99661134
21237,19.64421222
28051,19.3145239
21095,19.00974541
40001,18.90252817
21013,18.86299499
54059,18.85896147
21051,18.82824864
28063,18.79008205
21121,18.701062
22065,18.68091547
28053,18.6768186
21025,18.66919869
35031,18.63624011
55078,18.51351395
01063,18.4575285
28021,18.45352076
46121,18.43050683
28119,18.38928876
21119,18.33837833
01119,18.15369912
21071,18.15006375
21129,18.14969653
01047,18.03002783
38085,18.0028929
04001,18.00095848
21063,17.89172176
54005,17.87421463
28055,17.84287071
21131,17.79705157
40023,17.78798993
54013,17.76775409
54089,17.75137371
21109,17.68853589
05107,17.66769869
54043,17.66702668
40135,17.61304487
21189,17.61139559
13061,17.59318687
21153,17.58580531
54109,17.56846349
28027,17.56367806
30035,17.56188146
29069,17.56093366
22069,17.52536443
46102,17.52445717
01099,17.49854691
54045,17.45579151
54011,17.41091594
22029,17.3785343
54055,17.37562911
28083,17.35800041
54015,17.35236695
28065,17.33603123
21065,17.32304662
22067,17.31238842
21195,17.30626483
54001,17.29439565
54101,17.28956305
54099,17.28927616
21045,17.27497667
22097,17.25359538
37155,17.2273533
46017,17.22548622
22039,17.1912351
22091,17.18781417
01131,17.18663725
40021,17.17444524
21133,17.1494296
47027,17.14048526
54103,17.14029461
54053,17.13956583
35006,17.11707102
22083,17.10564598
46031,17.09841661
21205,17.09565098
54105,17.08647371
28125,17.08430241
22119,17.08061663
54019,17.07787297
01087,17.05954112
54007,17.05538441
05041,17.03312069
01065,17.02607577
54081,17.01252731
01085,17.00707636
01035,16.98271613
29155,16.95958771
54067,16.94273169
28011,16.9425781
21075,16.92086684
22027,16.92058844
35033,16.91709311
01013,16.91536387
28069,16.90985644
54021,16.90212229
21053,16.8800787
01091,16.86578076
21235,16.86180258
21201,16.85287885
54087,16.85271201
48507,16.85138463
47061,16.8310507
40107,16.82971255
28157,16.82647451
29229,16.81890513
47049,16.81573499
21135,16.79508082
21159,16.78465521
05135,16.76138357
29133,16.75264191
22041,16.74358104
40115,16.74257503
21105,16.73743256
21193,16.73735677
46137,16.73618102
02050,16.69073623
47029,16.61347796
21169,16.60345958
21011,16.59196251
01005,16.58625221
21181,16.58206838
21231,16.58110707
54097,16.56899007
05095,16.56500618
40089,16.54929847
54063,16.53755582
22117,16.53751087
21127,16.51888333
12107,16.51728169
22061,16.51451945
21175,16.51231737
54075,16.49065012
51595,16.48764261
29203,16.46707756
22127,16.44922282
22013,16.44283473
54071,16.43854323
30085,16.43506463
54041,16.43421853
13065,16.42731563
47151,16.41719791
04017,16.40560919
40041,16.40253809
21137,16.4017235
29153,16.37410678
01025,16.37406837
21043,16.35468103
01053,16.34386849
30003,16.34348572
47135,16.33677766
21085,16.30742786
22009,16.29730591
40133,16.29050593
12027,16.28279325
45061,16.27327817
54083,16.27283638
54023,16.26230648
01127,16.26208801
47097,16.26155469
54039,16.25572393
48427,16.24522207
05113,16.2440041
12029,16.23929183
21197,16.2334946
54051,16.21829176
28151,16.21364894
45005,16.20962253
21207,16.20865225
54107,16.20642752
21199,16.19123023
21099,16.19105588
47067,16.18848282
22031,16.18365304
54085,16.15738647
29143,16.15228459
40111,16.14728883
01059,16.13812802
54031,16.13360186
47019,16.13259093
22017,16.12362734
01075,16.12057478
40127,16.11991376
29181,16.11969376
40077,16.11951832
01049,16.11928499
28133,16.1164317
22021,16.1154708
01107,16.11280541
05103,16.10844926
29223,16.10810579
12079,16.10712063
28163,16.10647297
40061,16.10545519
21217,16.10286386
22079,16.10185584
28113,16.10093445
05017,16.08161958
48047,16.0575717
47005,16.05470043
28147,16.05133825
45033,16.04905155
13243,16.04897408
12059,16.02816095
21039,16.01273664
40079,16.00276233
28103,16.00207105
38079,15.99055653
39145,15.98961752
40101,15.98770372
48191,15.98461689
05061,15.97103193
51750,15.96953411
21009,15.95044263
30005,15.94497881
46071,15.94126188
21001,15.91986064
54029,15.9160571
21031,15.91417154
05077,15.90933206
54025,15.90604277
05067,15.90543334
40069,15.90468213
35029,15.90279472
21203,15.90135159
47185,15.89570954
54035,15.88497679
21125,15.88366899
40035,15.88078653
22073,15.87915962
47087,15.87334794
12075,15.87164033
22049,15.86685313
05093,15.85534292
01011,15.85477602
22059,15.84844429
54027,15.84771227
01109,15.84207391
21173,15.8417806
46095,15.83127287
22081,15.82454018
40091,15.82114042
45067,15.82080179
12093,15.82065594
22025,15.81375281
01095,15.81151737
01061,15.80666054
01071,15.80285361
12121,15.80168335
54033,15.78948298
39009,15.78631347
47095,15.77881722
47177,15.77189831
01023,15.7700207
26085,15.7675937
21233,15.7665946
40063,15.76538861
05147,15.76525002
05057,15.73613788
21183,15.73179936
01037,15.73006706
28001,15.71668441
40005,15.71580193
01133,15.70415374
21171,15.70391696
40097,15.68524418
29149,15.67810056
21115,15.6760377
22001,15.67534089
39001,15.67353693
40015,15.66502547
29067,15.6644029
45069,15.66324811
22123,15.66150447
22071,15.65301515
45029,15.65113921
21047,15.64869602
12051,15.64743366
40029,15.64549416
47109,15.64220397
22105,15.64060422
47131,15.63778585
05123,15.63751649
18167,15.63308151
22053,15.62915563
29023,15.62691633
47039,15.62288533
05011,15.61720845
02188,15.61197125
49037,15.6119139
54077,15.60800914
05027,15.60752081
29091,15.59739891
21057,15.5972691
28099,15.59571514
22109,15.59367676
40075,15.59280255
21155,15.59065986
54049,15.59017827
21081,15.58915062
47013,15.58419165
05137,15.58158614
01097,15.58144539
31173,15.57779988
29039,15.57438245
54057,15.57349448
54073,15.57081578
01027,15.56723269
28143,15.56008455
