FIPS,value
01001,36
01003,33
01005,39
01007,38
01009,36
01011,45
01013,42
01015,41
01017,37
01019,35
01021,35
01023,38
01025,41
01027,39
01029,34
01031,37
01033,37
01035,42
01037,37
01039,36
01041,38
01043,35
01045,41
01047,42
01049,36
01051,38
01053,40
01055,41
01057,39
01059,38
01061,37
01063,45
01065,42
01067,38
01069,37
01071,38
01073,36
01075,38
01077,35
01079,39
01081,37
01083,37
01085,43
01087,46
01089,36
01091,39
01093,38
01095,36
01097,37
01099,38
01101,37
01103,38
01105,44
01107,40
01109,39
01111,36
01113,41
01115,37
01117,37
01119,43
01121,42
01123,41
01125,38
01127,39
01129,39
01131,43
01133,36
02013,36
02016,34
02020,30
02050,35
02060,31
02068,30
02070,35
02090,30
02100,30
02105,31
02110,31
02122,30
02130,32
02150,29
02158,38
02164,34
02170,35
02180,36
02185,34
02188,35
02195,28
02198,33
02220,30
02230,28
02240,28
02261,30
02280,29
02232,29
02231,29
02201,29
02282,33
02290,35
04001,35
04003,31
04005,31
04007,32
04009,29
04011,34
04012,32
04013,34
04015,33
04017,35
04019,31
04021,35
04023,31
04025,30
04027,30
05001,36
05003,33
05005,32
05007,30
05009,30
05011,38
05013,36
05015,34
05017,37
05019,33
05021,32
05023,31
05025,33
05027,37
05029,34
05031,31
05033,34
05035,36
05037,34
05039,36
05041,40
05043,37
05045,35
05047,33
05049,32
05051,35
05053,33
05055,35
05057,37
05059,32
05061,36
05063,35
05065,34
05067,36
05069,39
05071,33
05073,38
05075,32
05077,40
05079,36
05081,36
05083,34
05085,34
05087,36
05089,36
05091,37
05093,37
05095,38
05097,33
05099,36
05101,33
05103,38
05105,32
05107,37
05109,32
05111,35
05113,34
05115,36
05117,34
05119,35
05121,31
05123,40
05125,31
05127,35
05129,32
05131,33
05133,35
05135,34
05137,34
05139,36
05141,31
05143,34
05145,35
05147,36
05149,37
06001,33
06003,31
06005,30
06007,32
06009,31
06011,33
06013,32
06015,33
06017,31
06019,35
06021,34
06023,32
06025,34
06027,32
06029,37
06031,35
06033,32
06035,33
06037,35
06039,35
06041,28
06043,30
06045,31
06047,36
06049,30
06051,31
06053,32
06055,31
06057,27
06059,31
06061,29
06063,30
06065,37
06067,35
06069,31
06071,37
06073,32
06075,29
06077,34
06079,27
06081,30
06083,27
06085,30
06087,27
06089,30
06091,29
06093,32
06095,35
06097,31
06099,35
06101,33
06103,31
06105,31
06107,33
06109,31
06111,33
06113,30
06115,34
08001,31
08003,32
08005,28
08007,25
08009,26
08011,31
08013,23
08014,26
08015,25
08017,26
08019,26
08021,29
08023,29
08025,32
08027,25
08029,28
08031,28
08033,27
08035,25
08037,24
08039,26
08041,29
08043,29
08045,26
08047,26
08049,24
08051,26
08053,25
08055,28
08057,27
08059,25
08061,27
08063,28
08065,27
08067,23
08069,25
08071,27
08073,30
08075,27
08077,27
08079,24
08081,28
08083,28
08085,26
08087,28
08089,29
08091,25
08093,27
08095,25
08097,25
08099,28
08101,33
08103,27
08105,26
08107,26
08109,30
08111,27
08113,26
08115,28
08117,26
08119,23
08121,28
08123,28
08125,24
09001,32
09003,33
09005,29
09007,31
09009,35
09011,30
09013,31
09015,34
10001,37
10003,37
10005,32
11001,36
12001,36
12003,37
12005,37
12007,38
12009,33
12011,37
12013,40
12015,32
12017,35
12019,37
12021,29
12023,40
12027,36
12029,37
12031,37
12033,36
12035,32
12037,34
12039,38
12041,36
12043,37
12045,35
12047,40
12049,36
12051,36
12053,37
12055,31
12057,33
12059,37
12061,34
12063,37
12065,36
12067,40
12069,35
12071,32
12073,32
12075,40
12077,41
12079,38
12081,33
12083,35
12085,25
12086,33
12087,31
12089,35
12091,36
12093,36
12095,36
12097,40
12099,37
12101,35
12103,37
12105,35
12107,37
12109,29
12111,35
12113,34
12115,29
12117,35
12119,29
12121,40
12123,40
12125,39
12127,35
12129,38
12131,33
12133,37
13001,36
13003,38
13005,36
13007,38
13009,39
13011,34
13013,36
13015,36
13017,39
13019,35
13021,40
13023,36
13025,36
13027,38
13029,35
13031,38
13033,39
13035,38
13037,43
13039,37
13043,37
13045,35
13047,34
13049,39
13051,38
13053,38
13055,36
13057,33
13059,38
13061,42
13063,42
13065,39
13067,35
13069,37
13071,37
13073,36
13075,37
13077,36
13079,35
13081,40
13083,33
13085,32
13087,38
13089,39
13091,36
13093,40
13095,47
13097,39
13099,42
13101,38
13103,36
13105,36
13107,37
13109,37
13111,33
13113,33
13115,33
13117,31
13119,35
13121,37
13123,33
13125,35
13127,37
13129,34
13131,39
13133,36
13135,35
13137,33
13139,32
13141,42
13143,37
13145,34
13147,35
13149,35
13151,36
13153,36
13155,38
13157,34
13159,37
13161,38
13163,40
13165,39
13167,39
13169,37
13171,38
13173,39
13175,36
13177,35
