FIPS,value,x1,x2
01001,18,null,32.5395 -86.6441
01003,17,null,30.5582 -87.6964
01005,22,null,31.8683 -85.3871
01007,19,null,32.9964 -87.1251
01009,19,null,33.9821 -86.5679
01011,23,null,32.0928 -85.7047
01013,22,null,31.7443 -86.6886
01015,21,null,33.7624 -85.8378
01017,19,null,32.9183 -85.4034
01019,17,null,34.1639 -85.6214
01021,20,null,32.8668 -86.6971
01023,19,null,32.0223 -88.2656
01025,21,null,31.681 -87.8355
01027,20,null,33.2698 -85.8584
01029,18,null,33.6768 -85.5201
01031,17,null,31.4001 -85.9927
01033,19,null,34.7297 -87.977
01035,21,null,31.434 -86.9932
01037,20,null,32.9291 -86.2622
01039,19,null,31.2478 -86.4505
01041,19,null,31.7294 -86.3159
01043,18,null,34.1302 -86.8689
01045,20,null,31.4304 -85.6109
01047,24,null,32.3269 -87.1087
01049,21,null,34.4595 -85.8078
01051,17,null,32.5978 -86.1441
01053,22,null,31.1288 -86.9532
01055,20,null,34.0457 -86.0405
01057,18,null,33.7208 -87.7527
01059,19,null,34.4432 -87.8515
01061,20,null,31.0939 -85.8358
01063,25,null,32.855 -87.9568
01065,22,null,32.7604 -87.6328
01067,18,null,31.5115 -85.2427
01069,19,null,31.152 -85.2994
01071,20,null,34.7814 -85.9975
01073,18,null,33.5555 -86.8951
01075,20,null,33.78 -88.0967
01077,17,null,34.8701 -87.7891
01079,20,null,34.5116 -87.3174
01081,18,null,32.6015 -85.3513
01083,18,null,34.8118 -86.9831
01085,23,null,32.1597 -86.6516
01087,21,null,32.3876 -85.6927
01089,17,null,34.7633 -86.5507
01091,21,null,32.2477 -87.788
01093,19,null,34.137 -87.887
01095,21,null,34.3493 -86.3198
01097,19,null,30.7847 -88.2084
01099,23,null,31.5673 -87.37
01101,20,null,32.2334 -86.208
01103,19,null,34.455 -86.8548
01105,26,null,32.6405 -87.2977
01107,21,null,33.281 -88.0882
01109,21,null,31.804 -85.9408
01111,19,null,33.2953 -85.4571
01113,22,null,32.286 -85.1629
01115,18,null,33.6579 -86.3109
01117,16,null,33.2688 -86.6623
01119,22,null,32.5912 -88.1991
01121,23,null,33.4004 -86.1489
01123,18,null,32.867 -85.7984
01125,18,null,33.2873 -87.5256
01127,23,null,33.8027 -87.3003
01129,21,null,31.4093 -88.2069
01131,22,null,31.9877 -87.3089
01133,20,null,34.1497 -87.373
02013,17,null,24.1078 -120.539
02016,15,null,23.0865 -124.2513
02020,15,null,25.7677 -116.7055
02050,30,null,25.5494 -121.0277
02060,18,null,25.0481 -118.9949
02068,18,null,26.5245 -116.9649
02070,27,null,25.3644 -119.427
02090,16,null,26.8649 -115.9334
02100,16,null,25.1524 -112.6031
02105,20,null,25.0445 -112.876
02110,17,null,24.961 -112.2188
02122,17,null,25.4687 -117.0525
02130,17,null,24.0951 -111.2553
02150,15,null,24.6993 -117.9637
02158,41,null,26.069 -120.9817
02164,28,null,24.9048 -118.9572
02170,18,null,26.1242 -116.8765
02180,32,null,26.9318 -121.0139
02185,24,null,28.2171 -118.0077
02188,31,null,27.5375 -119.8877
02195,15,null,24.6114 -111.8312
02198,22,null,24.0766 -111.8466
02220,16,null,24.5951 -112.5588
02230,16,null,25.2945 -112.5717
02240,20,null,26.5858 -114.9265
02261,17,null,25.8652 -115.3765
02275,17,null,24.3195 -111.5761
02282,20,null,25.39 -114.0707
02290,30,null,26.4981 -118.8024
04001,22,null,35.8705 -109.5229
04003,15,null,31.88 -109.7541
04005,16,null,35.8388 -111.7707
04007,18,null,33.7408 -110.8606
04009,18,null,32.9317 -109.8882
04011,14,null,33.549 -109.2711
04012,16,null,33.7285 -113.981
04013,14,null,32.8907 -112.9481
04015,19,null,35.7047 -113.7578
04017,21,null,35.2855 -110.2889
04019,15,null,31.9694 -111.7001
04021,16,null,32.9053 -111.345
04023,15,null,31.5318 -110.7683
04025,17,null,34.5993 -112.5539
04027,13,null,32.769 -113.9067
05001,20,null,34.2915 -91.3728
05003,20,null,33.2021 -91.8005
05005,16,null,36.2878 -92.3378
05007,17,null,36.3364 -94.2568
05009,20,null,36.3085 -93.0937
05011,22,null,33.4676 -92.1598
05013,21,null,33.556 -92.4997
05015,18,null,36.3404 -93.5427
05017,23,null,33.2646 -91.2954
05019,19,null,34.0554 -93.1943
05021,20,null,36.3683 -90.4148
05023,17,null,35.5353 -92.0213
05025,19,null,33.8972 -92.1854
05027,20,null,33.2123 -93.2265
05029,19,null,35.262 -92.7051
05031,21,null,35.8302 -90.6324
05033,19,null,35.5893 -94.2447
05035,23,null,35.2125 -90.3084
05037,20,null,35.2965 -90.7725
05039,19,null,33.9755 -92.6478
05041,24,null,33.8301 -91.255
05043,21,null,33.5906 -91.7252
05045,21,null,35.1472 -92.3372
05047,21,null,35.512 -93.893
05049,20,null,36.3746 -91.7829
05051,19,null,34.5813 -93.2152
05053,18,null,34.2902 -92.4232
05055,20,null,36.1158 -90.5206
05057,22,null,33.7333 -93.6694
05059,20,null,34.3279 -92.8733
05061,22,null,34.0901 -93.9935
05063,20,null,35.7424 -91.57
05065,20,null,36.096 -91.9085
05067,22,null,35.598 -91.215
05069,21,null,34.2776 -92.0181
05071,21,null,35.5676 -93.4604
05073,20,null,33.2412 -93.6068
05075,19,null,36.0694 -91.1687
05077,25,null,34.7728 -90.6853
05079,22,null,33.9532 -91.74
05081,21,null,33.7038 -94.2347
05083,20,null,35.2249 -93.71
05085,19,null,34.7539 -91.8874
05087,21,null,36.0104 -93.7252
05089,20,null,36.2685 -92.6845
05091,21,null,33.3145 -93.8546
05093,24,null,35.7627 -90.0519
05095,22,null,34.6704 -91.2242
05097,18,null,34.5424 -93.6648
05099,21,null,33.6302 -93.2941
05101,19,null,35.9249 -93.2311
05103,23,null,33.5828 -92.8918
05105,19,null,34.9459 -92.9437
05107,24,null,34.4327 -90.848
05109,20,null,34.1625 -93.6579
05111,22,null,35.5735 -90.9043
