FIPS,value,,,


01001,59753,,,
01003,41651,,,
01005,22772,,,
01007,34322,,,
01009,33333,,,
01011,31981,,,
01013,34551,,,
01015,38563,,,
01017,30778,,,
01019,33503,,,
01021,35780,,,
01023,33246,,,
01025,25435,,,
01027,34702,,,
01029,32083,,,
01031,61912,,,
01033,37182,,,
01035,27140,,,
01037,32908,,,
01039,29410,,,
01041,28214,,,
01043,31060,,,
01045,44555,,,
01047,32188,,,
01049,29387,,,
01051,47322,,,
01053,30430,,,
01055,35558,,,
01057,36372,,,
01059,29000,,,
01061,35725,,,
01063,28705,,,
01065,42500,,,
01067,36964,,,
01069,41623,,,
01071,29413,,,
01073,39782,,,
01075,28200,,,
01077,41827,,,
01079,36042,,,
01081,46877,,,
01083,45313,,,
01085,34250,,,
01087,33849,,,
01089,61878,,,
01091,30843,,,
01093,31515,,,
01095,35257,,,
01097,37001,,,
01099,39737,,,
01101,45604,,,
01103,38825,,,
01105,21333,,,
01107,29503,,,
01109,35824,,,
01111,29261,,,
01113,43216,,,
01115,35942,,,
01117,49196,,,
01119,26648,,,
01121,35271,,,
01123,36278,,,
01125,38558,,,
01127,31681,,,
01129,29506,,,
01131,31287,,,
01133,32235,,,

02010,,,,
02013,53889,,,
02016,82250,,,
02020,57857,,,
02050,24783,,,
02060,57500,,,
02068,47143,,,
02070,48875,,,
02090,54933,,,
02100,43750,,,
02105,38333,,,
02110,64292,,,
02122,44463,,,
02130,48160,,,
02150,54853,,,
02158,19583,,,
02164,38125,,,
02170,53195,,,
02180,38750,,,
02185,85875,,,
02188,54583,,,
02195,30333,,,
02198,35417,,,
02201,,,,
02220,49858,,,
02230,51875,,,
02232,,,,
02240,40451,,,
02261,64332,,,
02275,30500,,,
02280,,,,
02282,49688,,,
02290,31058,,,

04001,32912,,,
04003,47244,,,
04005,40317,,,
04007,30721,,,
04009,35194,,,
04011,34500,,,
04012,25616,,,
04013,42751,,,
04015,31930,,,
04017,34697,,,
04019,42134,,,
04021,38906,,,
04023,35035,,,
04025,36577,,,
04027,41909,,,

05001,30625,,,
05003,42704,,,
05005,30861,,,
05007,38906,,,
05009,32003,,,
05011,42511,,,
05013,31484,,,
05015,31143,,,
05017,32278,,,
05019,32274,,,
05021,30979,,,
05023,32184,,,
05025,31250,,,
05027,23875,,,
05029,33117,,,
05031,38044,,,
05033,34723,,,
05035,36067,,,
05037,34076,,,
05039,26500,,,
05041,23629,,,
05043,37386,,,
05045,40591,,,
05047,26369,,,
05049,30167,,,
05051,36113,,,
05053,27148,,,
05055,33306,,,
05057,26486,,,
05059,39821,,,
05061,30182,,,
05063,30484,,,
05065,32520,,,
05067,33984,,,
05069,34024,,,
05071,28208,,,
05073,26895,,,
05075,28217,,,
05077,37054,,,
05079,22014,,,
05081,33275,,,
05083,23828,,,
05085,44778,,,
05087,36786,,,
05089,31531,,,
05091,31061,,,
05093,36324,,,
05095,26875,,,
05097,29046,,,
05099,23880,,,
05101,22866,,,
05103,33218,,,
05105,31523,,,
05107,23942,,,
05109,27685,,,
05111,30456,,,
05113,29220,,,
05115,35914,,,
05117,27917,,,
05119,41171,,,
05121,24063,,,
05123,33519,,,
05125,40286,,,
