FIPS,value
01001,5809
01003,19489
01005,1918
01007,1300
01009,3856
01011,446
01013,1490
01015,10407
01017,2478
01019,2018
01021,2923
01023,834
01025,1542
01027,1005
01029,875
01031,7115
01033,4067
01035,909
01037,906
01039,3344
01041,1076
01043,6604
01045,7014
01047,2609
01049,3591
01051,7419
01053,2527
01055,7469
01057,1334
01059,1333
01061,2413
01063,452
01065,890
01067,1347
01069,9476
01071,3281
01073,44406
01075,877
01077,6158
01079,1615
01081,11707
01083,7508
01085,615
01087,1524
01089,34414
01091,1207
01093,1810
01095,5639
01097,31512
01099,1474
01101,20340
01103,8270
01105,480
01107,1379
01109,2354
01111,1587
01113,6787
01115,6664
01117,13905
01119,595
01121,5480
01123,3172
01125,12757
01127,4572
01129,906
01131,574
01133,1596
02013,95
02016,164
02020,31476
02050,973
02060,87
02068,197
02070,253
02090,13539
02100,185
02105,188
02110,2597
02122,5535
02130,1324
02150,1227
02158,340
02164,49
02170,9989
02180,574
02185,283
02188,268
02195,339
02198,455
02220,708
02230,84
02240,884
02261,723
02275,288
02282,44
02290,358
04001,3136
04003,21627
04005,7940
04007,5640
04009,1908
04011,604
04012,2289
04013,278912
04015,24527
04017,7731
04019,92147
04021,35598
04023,1734
04025,27204
04027,15882
05001,1227
05003,1278
05005,4728
05007,16443
05009,2898
05011,681
05013,369
05015,2257
05017,686
05019,1432
05021,974
05023,2538
05025,536
05027,1433
05029,1516
05031,5847
05033,4659
05035,3009
05037,914
05039,538
05041,602
05043,1158
05045,7648
05047,1253
05049,1081
05051,9107
05053,1260
05055,3108
05057,1201
05059,2382
05061,822
05063,2515
05065,1263
05067,1079
05069,5156
05071,1838
05073,423
05075,1150
05077,373
05079,613
05081,864
05083,1711
05085,6660
05087,837
05089,1708
05091,2977
05093,2681
05095,500
05097,868
05099,560
05101,710
05103,1814
05105,818
05107,1157
05109,770
05111,1296
05113,1946
05115,4566
05117,594
05119,33194
05121,1231
05123,1230
05125,9986
05127,771
05129,708
05131,9583
05133,839
05135,1745
05137,1104
05139,2600
05141,1519
05143,13582
05145,5328
05147,434
05149,1449
06001,54617
06003,84
06005,3667
06007,15654
